session_id,nrpess,dt_jornada,ponto_entrada,tempo_tela_segundos
sess_000036,nrpess_009616,2026-08-06 11:54:34.671226,camera_scanner,48.2584853077472
sess_000037,nrpess_006316,2026-08-17 21:47:13.371688,atalho_direto,32.432824315814
sess_000038,nrpess_009016,2026-08-20 00:20:44.680858,campo_unico,92.91996367392572
sess_000039,nrpess_004086,2026-08-03 23:56:28.570311,campo_unico,54.97031734728187
sess_000040,nrpess_008400,2026-08-05 08:49:13.042352,camera_scanner,35.417810318105786
sess_000041,nrpess_006533,2026-08-06 08:20:34.944476,campo_unico,33.95047348837389
sess_000042,nrpess_023147,2026-08-04 02:40:46.461777,camera_scanner,92.77743199605176
sess_000043,nrpess_015746,2026-08-15 08:11:10.802850,campo_unico,44.656252386795515
sess_000044,nrpess_004181,2026-08-23 22:24:57.498092,campo_unico,34.85479084277893
sess_000045,nrpess_016787,2026-08-22 05:57:48.384597,camera_scanner,70.50307563945034
sess_000046,nrpess_013296,2026-08-03 11:08:09.855670,campo_unico,48.29119735522915
sess_000047,nrpess_013089,2026-08-07 11:24:15.174596,camera_scanner,57.27616336639461
sess_000048,nrpess_005070,2026-08-12 04:49:27.709433,camera_scanner,32.883150030391334
sess_000049,nrpess_008764,2026-08-04 09:27:26.382874,campo_unico,70.11045085779092
sess_000050,nrpess_023202,2026-08-19 10:10:35.756073,camera_scanner,56.15569583832266
sess_000051,nrpess_016827,2026-08-09 10:48:46.320858,campo_unico,55.67527354132352
sess_000052,nrpess_020502,2026-08-05 02:12:31.051972,atalho_direto,69.28401673346904
sess_000053,nrpess_011009,2026-08-15 20:10:41.800440,camera_scanner,55.97371306548919
sess_000054,nrpess_017757,2026-08-19 14:55:33.429034,campo_unico,35.7015143157175
sess_000055,nrpess_001140,2026-08-14 04:54:11.055085,campo_unico,48.143502480789536
sess_000056,nrpess_012457,2026-08-08 08:58:09.644572,camera_scanner,53.106213367610216
sess_000057,nrpess_018245,2026-08-20 09:51:21.252752,camera_scanner,99.92663713577599
sess_000058,nrpess_007934,2026-08-10 13:08:30.757681,campo_unico,62.62517498743465
sess_000059,nrpess_013022,2026-08-08 01:05:15.620647,atalho_direto,38.18180141942788
sess_000060,nrpess_005930,2026-08-11 00:17:23.461766,campo_unico,41.95875772151571
sess_000061,nrpess_020701,2026-08-12 19:17:52.316052,atalho_direto,62.02089030851027
sess_000062,nrpess_008625,2026-08-19 19:38:36.934886,campo_unico,35.769057055296145
sess_000063,nrpess_001606,2026-08-08 22:18:08.226977,campo_unico,40.28605248235524
sess_000064,nrpess_023539,2026-08-15 08:34:51.386936,atalho_direto,5.0
sess_000065,nrpess_007359,2026-08-16 01:07:56.949104,campo_unico,88.78981764433064
sess_000066,nrpess_014244,2026-08-19 17:55:17.298354,atalho_direto,39.43652731911891
sess_000067,nrpess_011418,2026-08-13 22:43:28.487190,atalho_direto,46.44110744544468
sess_000068,nrpess_002741,2026-08-02 11:07:50.808420,campo_unico,36.732503025739504
sess_000069,nrpess_011689,2026-08-19 19:33:56.752025,atalho_direto,37.780615154618715
sess_000070,nrpess_007786,2026-08-07 20:54:35.883489,camera_scanner,90.97939973955916
sess_000071,nrpess_023877,2026-08-04 15:59:32.454229,atalho_direto,30.85325548033266
sess_000072,nrpess_000384,2026-08-08 08:39:06.744680,camera_scanner,70.74443786045367
sess_000073,nrpess_010745,2026-08-14 17:57:53.850784,camera_scanner,78.10387122812628
sess_000074,nrpess_015039,2026-08-20 07:22:27.263242,campo_unico,66.56258037693159
sess_000075,nrpess_024278,2026-08-03 02:47:56.515510,campo_unico,17.683739239648958
sess_000076,nrpess_009640,2026-08-11 15:37:15.278906,atalho_direto,45.87684557963694
sess_000077,nrpess_016369,2026-08-21 01:33:20.094358,campo_unico,42.40700985169
sess_000078,nrpess_006466,2026-08-19 02:24:50.812561,camera_scanner,65.47199262749615
sess_000079,nrpess_022668,2026-08-20 23:28:13.860374,atalho_direto,73.93600428823927
sess_000080,nrpess_018301,2026-08-17 20:41:42.448804,camera_scanner,49.39819428464962
sess_000081,nrpess_002192,2026-08-04 10:01:18.241048,campo_unico,62.80243134362683
sess_000082,nrpess_024051,2026-08-02 14:31:23.388322,campo_unico,84.80555693177593
sess_000083,nrpess_012469,2026-08-08 02:08:52.402651,camera_scanner,48.35599199253111
sess_000084,nrpess_017403,2026-08-16 04:02:47.315435,camera_scanner,79.82728851327535
sess_000085,nrpess_004988,2026-08-07 21:25:49.642342,camera_scanner,61.75061138063842
sess_000086,nrpess_001462,2026-08-19 10:24:16.318554,campo_unico,76.40561711434395
sess_000087,nrpess_000074,2026-08-05 19:31:21.535996,atalho_direto,96.66062684285384
sess_000088,nrpess_009266,2026-08-14 19:26:46.309042,campo_unico,45.180512033823
sess_000089,nrpess_002919,2026-08-11 23:40:46.911418,campo_unico,60.98135653105577
sess_000090,nrpess_006336,2026-08-20 14:48:18.598149,campo_unico,47.56061943114354
sess_000091,nrpess_009658,2026-08-12 13:09:11.379463,campo_unico,58.74106870984707
sess_000092,nrpess_001509,2026-08-02 08:27:23.020599,camera_scanner,65.61396939511674
sess_000093,nrpess_024559,2026-08-07 12:02:02.344263,campo_unico,52.59615690449371
sess_000094,nrpess_012991,2026-08-14 22:37:04.332084,camera_scanner,57.97302120073908
sess_000095,nrpess_002898,2026-08-13 18:06:02.803310,campo_unico,44.78327768873522
sess_000096,nrpess_000342,2026-08-05 08:59:03.172852,atalho_direto,36.82836737511231
sess_000097,nrpess_014246,2026-08-11 09:06:02.598324,atalho_direto,47.98866460341285
sess_000098,nrpess_004930,2026-08-03 15:43:52.639183,atalho_direto,75.88134112847182
sess_000099,nrpess_003490,2026-08-20 12:45:24.426843,campo_unico,49.389554009160875
sess_000100,nrpess_000264,2026-08-11 18:22:56.500036,campo_unico,20.824806381239668
sess_000101,nrpess_006188,2026-08-09 04:25:00.909260,camera_scanner,10.459679733168002
sess_000102,nrpess_016134,2026-08-11 21:09:34.535398,atalho_direto,77.03927541642088
sess_000103,nrpess_013820,2026-08-03 10:21:52.363951,atalho_direto,79.44488682717633
sess_000104,nrpess_017568,2026-08-20 15:10:22.519109,camera_scanner,22.950097137238657
sess_000105,nrpess_012707,2026-08-02 15:54:30.496880,campo_unico,51.12246425085188
sess_000106,nrpess_022325,2026-08-07 08:33:51.163558,camera_scanner,48.8683820380066
sess_000107,nrpess_004393,2026-08-10 16:56:26.297135,campo_unico,34.64266302441273
sess_000108,nrpess_018984,2026-08-03 07:29:25.033815,campo_unico,58.281396997423236
sess_000109,nrpess_010722,2026-08-07 00:45:13.251541,campo_unico,57.76099895765194
sess_000110,nrpess_009818,2026-08-19 17:24:29.420254,atalho_direto,31.138315583773295
sess_000111,nrpess_020688,2026-08-16 02:25:41.186434,campo_unico,47.78956628879668
sess_000112,nrpess_007607,2026-08-15 05:48:31.107762,atalho_direto,46.73623825575065
sess_000113,nrpess_000782,2026-08-13 18:36:56.577063,atalho_direto,39.02779956016351
sess_000114,nrpess_021122,2026-08-01 12:54:37.590710,atalho_direto,45.20248527356124
sess_000115,nrpess_000125,2026-08-14 12:26:56.528243,campo_unico,35.25341838078136
sess_000116,nrpess_022709,2026-08-22 23:38:19.124984,campo_unico,65.10579519694618
sess_000117,nrpess_003937,2026-08-02 17:14:50.905099,campo_unico,71.0285685073121
sess_000118,nrpess_023765,2026-08-15 22:18:36.695745,atalho_direto,56.17895608347156
sess_000119,nrpess_005261,2026-08-13 10:11:56.178252,atalho_direto,51.14108663517049
sess_000120,nrpess_000086,2026-08-21 11:48:10.101545,campo_unico,59.59548267202175
sess_000121,nrpess_002940,2026-08-01 21:09:26.214013,campo_unico,50.56181370651733
sess_000122,nrpess_016156,2026-08-11 14:20:08.194410,camera_scanner,59.659811133103176
sess_000123,nrpess_012768,2026-08-20 17:11:23.502411,campo_unico,21.419415133059243
sess_000124,nrpess_024564,2026-08-09 07:57:44.048244,campo_unico,85.45055352145368
sess_000125,nrpess_019894,2026-08-20 02:20:25.921016,atalho_direto,49.56413705289435
sess_000126,nrpess_024997,2026-08-12 11:47:52.830271,campo_unico,57.76409747407992
sess_000127,nrpess_001911,2026-08-08 14:36:38.890639,campo_unico,72.53833580635309
sess_000128,nrpess_020386,2026-08-21 04:45:05.429032,atalho_direto,19.73906595172341
sess_000129,nrpess_019752,2026-08-13 08:50:42.287820,atalho_direto,70.39490644120494
sess_000130,nrpess_007912,2026-08-08 00:49:00.543083,campo_unico,49.60498661286244
sess_000131,nrpess_001829,2026-08-05 08:42:50.817188,atalho_direto,46.0700157835665
sess_000132,nrpess_004236,2026-08-13 19:35:15.627093,camera_scanner,46.780974625785404
sess_000133,nrpess_019561,2026-08-04 18:56:23.313969,atalho_direto,42.44076001894392
sess_000134,nrpess_023380,2026-08-18 18:27:15.553217,campo_unico,50.73132182466666
sess_000135,nrpess_017652,2026-08-20 15:17:49.430849,camera_scanner,58.10840083391771
sess_000136,nrpess_002499,2026-08-12 00:15:51.970735,atalho_direto,26.285097484189208
sess_000137,nrpess_001003,2026-08-10 20:48:36.596322,campo_unico,50.55523880679097
sess_000138,nrpess_000973,2026-08-02 07:54:35.543690,camera_scanner,27.04642366185236
sess_000139,nrpess_013729,2026-08-09 08:15:43.813013,atalho_direto,45.02088622110798
sess_000140,nrpess_009167,2026-08-09 08:34:56.193772,atalho_direto,30.778253208114926
sess_000141,nrpess_017744,2026-08-04 09:14:35.569344,atalho_direto,39.259127848413065
sess_000142,nrpess_007517,2026-08-19 12:45:33.188606,campo_unico,30.09063878128929
sess_000143,nrpess_024645,2026-08-22 06:13:39.016267,campo_unico,56.45141625585585
sess_000144,nrpess_003661,2026-08-13 09:24:09.335729,atalho_direto,80.57533041786705
sess_000145,nrpess_016802,2026-08-16 14:50:36.813809,campo_unico,47.91522071208397
sess_000146,nrpess_018411,2026-08-18 11:11:14.547359,campo_unico,23.69679291089615
sess_000147,nrpess_012583,2026-08-02 23:13:16.285597,campo_unico,18.56364433332461
sess_000148,nrpess_023244,2026-08-21 20:42:04.208370,campo_unico,42.45899689354941
sess_000149,nrpess_015971,2026-08-17 22:20:59.456320,camera_scanner,56.6471855463857
sess_000150,nrpess_016707,2026-08-09 14:17:36.577757,campo_unico,60.47328824214338
sess_000151,nrpess_010070,2026-08-22 00:53:39.276215,campo_unico,52.99638867654608
sess_000152,nrpess_017298,2026-08-13 17:14:25.161745,campo_unico,36.030366767896496
sess_000153,nrpess_016029,2026-08-07 14:33:13.511059,camera_scanner,25.98583551916103
sess_000154,nrpess_013392,2026-08-02 10:30:59.183925,campo_unico,66.87123999509755
sess_000155,nrpess_023222,2026-08-21 16:39:44.377708,campo_unico,19.44257447348741
sess_000156,nrpess_018274,2026-08-13 15:16:48.244151,campo_unico,22.35856421432311
sess_000157,nrpess_016420,2026-08-21 04:12:18.871773,atalho_direto,67.90500983027204
sess_000158,nrpess_022054,2026-08-16 18:26:18.218859,campo_unico,48.5836508445487
sess_000159,nrpess_011896,2026-08-02 05:17:14.034627,camera_scanner,31.58086030890844
sess_000160,nrpess_009466,2026-08-13 12:11:41.199393,campo_unico,59.82244929784504
sess_000161,nrpess_000003,2026-08-04 00:27:14.822091,camera_scanner,29.42226465115611
sess_000162,nrpess_016987,2026-08-13 15:57:28.391136,camera_scanner,9.648177604720495
sess_000163,nrpess_013763,2026-08-09 09:40:46.427085,camera_scanner,80.63792388063295
sess_000164,nrpess_012728,2026-08-18 07:09:08.991863,campo_unico,55.12058588595754
sess_000165,nrpess_017536,2026-08-22 08:53:07.019239,camera_scanner,58.44199614270085
sess_000166,nrpess_016718,2026-08-07 07:32:06.946375,campo_unico,36.2780067379474
sess_000167,nrpess_005109,2026-08-13 21:29:06.070703,atalho_direto,61.23047515375015
sess_000168,nrpess_005487,2026-08-17 07:34:29.434502,campo_unico,48.682221690530554
sess_000169,nrpess_010061,2026-08-06 16:22:38.099179,campo_unico,61.32833367564737
sess_000170,nrpess_009668,2026-08-03 04:28:07.060737,atalho_direto,37.9595672123766
sess_000171,nrpess_014348,2026-08-19 23:07:33.582431,camera_scanner,30.73656873580325
sess_000172,nrpess_008227,2026-08-03 18:30:56.226126,campo_unico,35.66210449573041
sess_000173,nrpess_007749,2026-08-08 12:29:06.091310,campo_unico,65.9923620451805
sess_000174,nrpess_015420,2026-08-20 20:24:35.888236,campo_unico,47.60646904122261
sess_000175,nrpess_023672,2026-08-12 22:59:35.442769,camera_scanner,56.454911802952815
sess_000176,nrpess_002829,2026-08-01 18:00:58.535917,atalho_direto,5.0
sess_000177,nrpess_018702,2026-08-03 09:31:11.374050,atalho_direto,66.03490997700435
sess_000178,nrpess_021294,2026-08-15 14:54:34.712065,campo_unico,45.87108681646721
sess_000179,nrpess_013905,2026-08-18 20:39:31.189320,camera_scanner,42.77683057971089
sess_000180,nrpess_004551,2026-08-08 05:40:36.847303,campo_unico,46.41007101478872
sess_000181,nrpess_011076,2026-08-07 19:42:15.951369,camera_scanner,28.495427356949453
sess_000182,nrpess_004185,2026-08-11 06:48:04.411696,camera_scanner,5.0
sess_000183,nrpess_019011,2026-08-09 12:05:14.103839,camera_scanner,84.8139936280287
sess_000184,nrpess_016279,2026-08-02 10:30:41.458430,campo_unico,52.96818353219616
sess_000185,nrpess_022809,2026-08-16 22:57:18.815305,campo_unico,62.8587756970927
sess_000186,nrpess_000940,2026-08-13 03:57:44.501264,campo_unico,63.4549627856102
sess_000187,nrpess_001727,2026-08-23 19:33:04.876002,camera_scanner,75.09940152968812
sess_000188,nrpess_010144,2026-08-11 23:27:19.599680,campo_unico,48.7972455837681
sess_000189,nrpess_020354,2026-08-14 11:11:49.838834,atalho_direto,37.47815366504465
sess_000190,nrpess_000965,2026-08-09 03:51:26.636886,campo_unico,73.30303350717932
sess_000191,nrpess_010080,2026-08-19 05:32:17.622193,campo_unico,39.424991764146355
sess_000192,nrpess_014467,2026-08-15 01:49:32.011886,campo_unico,64.25509262451749
sess_000193,nrpess_022672,2026-08-22 04:45:51.119350,campo_unico,53.21702860981638
sess_000194,nrpess_006469,2026-08-02 12:53:43.491019,campo_unico,41.571503996567515
sess_000195,nrpess_012354,2026-08-10 07:21:28.980751,camera_scanner,62.08770705642034
sess_000196,nrpess_008178,2026-08-05 16:12:42.620788,atalho_direto,64.05772761439462
sess_000197,nrpess_013673,2026-08-10 02:03:44.232622,campo_unico,72.49507663876777
sess_000198,nrpess_009253,2026-08-12 17:47:14.131699,atalho_direto,32.23379178863645
sess_000199,nrpess_020071,2026-08-19 21:03:38.915636,campo_unico,49.69188028920351
sess_000200,nrpess_016049,2026-08-13 06:40:58.934925,campo_unico,29.586446582297643
sess_000201,nrpess_024746,2026-08-15 11:55:18.893446,campo_unico,34.06504475138724
sess_000202,nrpess_008994,2026-08-05 04:07:16.445948,atalho_direto,65.23102123006187
sess_000203,nrpess_011588,2026-08-05 04:52:43.525140,campo_unico,46.39027260822056
sess_000204,nrpess_008554,2026-08-13 00:59:51.269827,atalho_direto,64.49477978699431
sess_000205,nrpess_012637,2026-08-06 10:59:58.868244,camera_scanner,36.47494942648048
sess_000206,nrpess_011677,2026-08-14 13:43:11.307025,camera_scanner,7.250704000232048
sess_000207,nrpess_020469,2026-08-19 07:02:26.521596,camera_scanner,35.43800009158884
sess_000208,nrpess_011678,2026-08-19 09:12:53.489493,camera_scanner,55.16040120285014
sess_000209,nrpess_023670,2026-08-21 05:23:58.345322,campo_unico,48.774940257294396
sess_000210,nrpess_001364,2026-08-04 20:23:24.382113,camera_scanner,73.72151637506175
sess_000211,nrpess_011543,2026-08-14 12:50:21.262807,camera_scanner,78.30701591499613
sess_000212,nrpess_000443,2026-08-05 16:31:15.437445,campo_unico,42.40971771479461
sess_000213,nrpess_012463,2026-08-18 03:16:00.806618,atalho_direto,77.5522958417699
sess_000214,nrpess_018587,2026-08-14 16:39:51.134425,atalho_direto,50.99793900921957
sess_000215,nrpess_005517,2026-08-04 08:41:25.193785,camera_scanner,69.99553310788028
sess_000216,nrpess_016119,2026-08-19 10:59:15.620658,campo_unico,52.17166143830095
sess_000217,nrpess_005883,2026-08-13 09:12:27.699038,camera_scanner,84.91179539201008
sess_000218,nrpess_010298,2026-08-06 05:05:19.455001,campo_unico,57.29641023845892
sess_000219,nrpess_022498,2026-08-23 09:56:48.780704,camera_scanner,46.40990187311756
sess_000220,nrpess_020263,2026-08-07 01:43:45.300583,camera_scanner,30.106402480643567
sess_000221,nrpess_024576,2026-08-22 20:38:37.711435,campo_unico,39.80128010409976
sess_000222,nrpess_011318,2026-08-04 13:52:58.397933,campo_unico,30.029501338570032
sess_000223,nrpess_006513,2026-08-16 11:10:01.074584,campo_unico,41.16386726509985
sess_000224,nrpess_009945,2026-08-07 09:59:06.197696,camera_scanner,27.9541511407505
sess_000225,nrpess_006907,2026-08-08 12:49:21.446900,campo_unico,45.82632044702122
sess_000226,nrpess_006919,2026-08-19 23:15:30.336392,camera_scanner,24.538061365550266
sess_000227,nrpess_013109,2026-08-03 04:16:15.491207,camera_scanner,58.51254386654194
sess_000228,nrpess_021560,2026-08-20 04:59:52.969788,camera_scanner,35.33051409438629
sess_000229,nrpess_023482,2026-08-12 22:41:06.459013,atalho_direto,83.92840344706161
sess_000230,nrpess_013382,2026-08-17 23:26:39.958398,campo_unico,63.16760736794434
sess_000231,nrpess_024494,2026-08-21 10:35:06.050211,camera_scanner,39.34758383172566
sess_000232,nrpess_023461,2026-08-07 05:47:06.334409,campo_unico,65.1125250405638
sess_000233,nrpess_022965,2026-08-03 10:03:23.454056,campo_unico,58.62045757014535
sess_000234,nrpess_017192,2026-08-23 05:59:49.131877,atalho_direto,74.56590015824169
sess_000235,nrpess_010031,2026-08-21 17:23:53.803739,atalho_direto,60.760502248664416
sess_000236,nrpess_000739,2026-08-11 18:13:00.877944,atalho_direto,69.08414504999945
sess_000237,nrpess_009932,2026-08-02 05:19:47.237721,camera_scanner,50.22016742589839
sess_000238,nrpess_006073,2026-08-02 23:43:33.598099,campo_unico,64.94548881787561
sess_000239,nrpess_014485,2026-08-23 10:53:46.807683,campo_unico,55.28531878961506
sess_000240,nrpess_023034,2026-08-06 12:16:01.796845,atalho_direto,74.52835069473814
sess_000241,nrpess_011455,2026-08-18 15:32:54.045020,atalho_direto,52.90212336181945
sess_000242,nrpess_005678,2026-08-23 16:18:16.264662,atalho_direto,27.203535550317834
sess_000243,nrpess_009812,2026-08-02 19:51:34.410478,campo_unico,62.361776554561786
sess_000244,nrpess_017338,2026-08-18 20:07:30.466084,camera_scanner,52.10302197984185
sess_000245,nrpess_021084,2026-08-08 23:40:45.680727,campo_unico,77.18837083793417
sess_000246,nrpess_009210,2026-08-03 04:33:51.890241,camera_scanner,77.64317773902971
sess_000247,nrpess_006962,2026-08-22 11:42:25.988875,atalho_direto,85.73217209592057
sess_000248,nrpess_016699,2026-08-21 01:46:39.776731,atalho_direto,63.380272514291164
sess_000249,nrpess_013364,2026-08-05 20:12:36.463974,camera_scanner,61.80436259282254
sess_000250,nrpess_011536,2026-08-23 01:09:02.105705,campo_unico,72.42019355100365
sess_000251,nrpess_019259,2026-08-02 11:17:13.804196,campo_unico,57.4326758757668
sess_000252,nrpess_006671,2026-08-10 15:36:17.915729,atalho_direto,81.59942579683624
sess_000253,nrpess_013525,2026-08-18 09:52:09.077504,campo_unico,39.062082412513206
sess_000254,nrpess_017104,2026-08-07 16:27:21.333211,atalho_direto,57.13617107505061
sess_000255,nrpess_003828,2026-08-20 02:48:54.437837,campo_unico,61.53972741832285
sess_000256,nrpess_014719,2026-08-18 03:11:28.395287,atalho_direto,54.93857033958378
sess_000257,nrpess_005632,2026-08-20 15:40:37.614468,campo_unico,65.52246870111044
sess_000258,nrpess_019605,2026-08-04 13:52:39.839868,camera_scanner,65.47853123339014
sess_000259,nrpess_007653,2026-08-08 22:03:24.642113,campo_unico,55.327909702041325
sess_000260,nrpess_016179,2026-08-20 22:10:52.066092,atalho_direto,29.363847457263486
sess_000261,nrpess_016434,2026-08-02 23:24:29.791778,camera_scanner,51.97262024654317
sess_000262,nrpess_010642,2026-08-02 18:16:47.530678,atalho_direto,60.227378664395566
sess_000263,nrpess_019496,2026-08-04 02:23:34.604695,campo_unico,9.797456250421838
sess_000264,nrpess_000636,2026-08-23 23:46:11.051678,atalho_direto,62.85465928492564
sess_000265,nrpess_012954,2026-08-11 12:23:42.707339,camera_scanner,54.23760213853799
sess_000266,nrpess_010957,2026-08-13 08:40:44.501148,camera_scanner,64.0108679475346
sess_000267,nrpess_007210,2026-08-14 02:42:45.542483,camera_scanner,54.74956034254875
sess_000268,nrpess_002345,2026-08-05 03:17:09.383347,atalho_direto,28.93638410132605
sess_000269,nrpess_000487,2026-08-10 02:47:25.834786,camera_scanner,35.75086562305597
sess_000270,nrpess_002245,2026-08-03 11:01:24.283993,campo_unico,46.829188195386934
sess_000271,nrpess_010337,2026-08-15 19:54:55.686587,campo_unico,80.07977292142354
sess_000272,nrpess_017856,2026-08-15 12:39:56.792527,camera_scanner,40.077017395308054
sess_000273,nrpess_002159,2026-08-20 03:14:58.953014,camera_scanner,53.6735107843143
sess_000274,nrpess_018398,2026-08-12 09:38:00.104780,campo_unico,64.38670322796655
sess_000275,nrpess_018021,2026-08-07 15:56:57.520590,campo_unico,46.14748127480469
sess_000276,nrpess_003462,2026-08-16 06:35:35.306143,camera_scanner,75.65614529543281
sess_000277,nrpess_016957,2026-08-14 06:26:09.122064,campo_unico,31.25740177996015
sess_000278,nrpess_015135,2026-08-05 20:02:36.931663,camera_scanner,54.061393986720304
sess_000279,nrpess_012463,2026-08-17 01:49:31.153607,campo_unico,67.68660999187793
sess_000280,nrpess_013109,2026-08-13 05:12:52.920599,campo_unico,41.15630147255661
sess_000281,nrpess_023219,2026-08-05 08:51:54.826038,camera_scanner,55.145742574241105
sess_000282,nrpess_011159,2026-08-03 12:09:15.745925,camera_scanner,71.11939504099351
sess_000283,nrpess_000696,2026-08-01 16:29:47.754583,atalho_direto,41.16234907804646
sess_000284,nrpess_005681,2026-08-05 18:25:37.939221,atalho_direto,43.29130071121068
sess_000285,nrpess_021202,2026-08-13 03:32:35.736570,atalho_direto,19.538255391287272
sess_000286,nrpess_003874,2026-08-05 02:28:36.581717,campo_unico,76.76143950792914
sess_000287,nrpess_017943,2026-08-15 08:54:28.654809,atalho_direto,58.80329891048608
sess_000288,nrpess_013865,2026-08-05 11:35:14.452976,camera_scanner,50.72798326546318
sess_000289,nrpess_019017,2026-08-16 00:08:25.870638,atalho_direto,46.65114597969271
sess_000290,nrpess_004362,2026-08-09 23:48:57.360610,campo_unico,37.16928114685412
sess_000291,nrpess_017659,2026-08-12 04:15:20.562371,camera_scanner,54.83517386240542
sess_000292,nrpess_015703,2026-08-23 00:30:54.672959,camera_scanner,14.11114572872085
sess_000293,nrpess_020567,2026-08-16 02:50:45.658913,campo_unico,30.021227159501976
sess_000294,nrpess_001731,2026-08-19 19:07:29.217977,campo_unico,39.65449052309686
sess_000295,nrpess_002799,2026-08-17 20:25:04.494054,atalho_direto,37.53431939053274
sess_000296,nrpess_016595,2026-08-21 07:37:06.504151,campo_unico,40.74098296790977
sess_000297,nrpess_000527,2026-08-06 03:26:52.133410,campo_unico,15.882644764592605
sess_000298,nrpess_009120,2026-08-16 10:39:49.184261,camera_scanner,25.880444507762054
sess_000299,nrpess_005253,2026-08-19 18:49:54.256249,campo_unico,51.29197997535712
sess_000300,nrpess_016141,2026-08-10 09:11:32.653488,campo_unico,54.470931295482174
sess_000301,nrpess_021536,2026-08-23 10:28:28.231984,camera_scanner,85.04486917776327
sess_000302,nrpess_015348,2026-08-22 14:19:50.213296,camera_scanner,70.01403229959871
sess_000303,nrpess_007623,2026-08-21 01:16:23.481627,atalho_direto,68.0863944305274
sess_000304,nrpess_005272,2026-08-06 03:11:14.515525,camera_scanner,60.29698296463077
sess_000305,nrpess_000156,2026-08-05 00:14:48.722220,atalho_direto,65.36159218829854
sess_000306,nrpess_017221,2026-08-11 11:26:21.765409,campo_unico,49.93627984571553
sess_000307,nrpess_018077,2026-08-06 03:33:17.775078,camera_scanner,65.57831394432563
sess_000308,nrpess_013708,2026-08-16 16:32:16.008964,campo_unico,77.66104132739906
sess_000309,nrpess_008682,2026-08-20 10:42:12.662546,atalho_direto,54.27086078140763
sess_000310,nrpess_016688,2026-08-10 03:37:04.296432,camera_scanner,56.79045063954165
sess_000311,nrpess_001504,2026-08-18 06:23:24.330917,campo_unico,70.7164360258379
sess_000312,nrpess_020368,2026-08-07 11:37:30.117019,campo_unico,86.34719184423457
