session_id,nrpess,dt_jornada,ponto_entrada,tempo_tela_segundos,segmento,cluster_engajamento,saldo_medio_conta,gasto_cartao_mes,freq_pix_mes,freq_boletos_mes,prob_organica_base,id_campanha,nome_do_produto,espaco_veiculacao,tag_publico_macro,dt_exposicao,clicou_flag,delta_horas,peso_atribuicao_causal,venda_concluida_flag
sess_000019,nrpess_003852,2026-08-14 03:24:52.310863,campo_unico,34.64429415749565,Especial,Moderado,9445.3,1321.03,11,1,0.348,CAMP_0100,Cartão Black,Banner Home,Especial sem Seguro,2026-08-09 20:20:33.653523,0.0,103.0718492611111,0.0,0
sess_000020,nrpess_014148,2026-08-06 21:06:26.986071,campo_unico,26.886055878392405,Varejo,Moderado,2089.37,1999.14,9,2,0.355,CAMP_0109,Consórcio Auto,Pós-Pix Transacional,Propensos a Cartão,2026-08-03 03:55:57.742494,0.0,89.1747898825,0.0,0
sess_000022,nrpess_004332,2026-08-09 07:47:46.013582,campo_unico,64.35808964196025,Varejo,Moderado,1672.19,2023.56,7,2,0.306,,Transação Padrão,Orgânico Puro (Sem Campanha),,,,999.0,0.0,0
sess_000023,nrpess_000209,2026-08-22 07:08:09.440299,campo_unico,41.154356172298755,Varejo,Moderado,1954.21,3282.43,4,3,0.302,,Transação Padrão,Orgânico Puro (Sem Campanha),,,,999.0,0.0,0
sess_000024,nrpess_006327,2026-08-17 19:12:49.492179,camera_scanner,50.88350680249863,Varejo,Muito Engajado,630.75,3639.95,25,3,0.836,,Transação Padrão,Orgânico Puro (Sem Campanha),,,,999.0,0.0,0
sess_000025,nrpess_019746,2026-08-16 16:19:08.340986,campo_unico,61.64222819181198,Select,Moderado,22043.62,1502.64,8,2,0.318,CAMP_0104,Consórcio Auto,Banner Home,Propensos a Cartão,2026-08-13 08:50:11.618878,1.0,79.48242280777778,0.0,1
sess_000028,nrpess_017897,2026-08-12 04:11:38.470788,camera_scanner,52.91113760055728,Select,Moderado,15759.79,2026.63,7,2,0.306,CAMP_0108,Pix Parcelado,Banner Home,Propensos a Cartão,2026-08-11 09:58:34.668795,0.0,18.217722775833334,0.24229961260138413,1
sess_000029,nrpess_018383,2026-08-13 04:54:39.636545,camera_scanner,23.2342083220063,Especial,Muito Engajado,6997.96,3149.1,14,6,0.669,CAMP_0104,Pix Parcelado,Banner Home,Propensos a Cartão,2026-08-11 03:59:15.311671,0.0,48.92342357611111,0.019612960854535545,0
sess_000030,nrpess_015950,2026-08-17 19:59:13.297278,campo_unico,66.97235097602781,Select,Moderado,21406.57,1066.46,7,2,0.282,,Transação Padrão,Orgânico Puro (Sem Campanha),,,,999.0,0.0,0
sess_000031,nrpess_013778,2026-08-21 22:28:26.473693,camera_scanner,54.06733866317818,Especial,Moderado,6619.79,2100.91,8,2,0.333,CAMP_0108,Seguro Pix,Banner Home,Alta Renda Pix,2026-08-21 21:42:06.169324,0.0,0.7723067691666666,0.6378989323921747,1
sess_000032,nrpess_007515,2026-08-12 16:35:15.894528,atalho_direto,36.950736961913336,Select,Moderado,25883.81,2292.21,9,2,0.362,CAMP_0103,Pix Parcelado,Pós-Pix Transacional,Especial sem Seguro,2026-08-06 07:24:08.750017,0.0,153.18531791972222,0.0,1
sess_000033,nrpess_022640,2026-08-21 09:30:49.639588,campo_unico,38.36613110975086,Varejo,Baixo Engajamento,1177.61,905.87,1,1,0.088,,Transação Padrão,Orgânico Puro (Sem Campanha),,,,999.0,0.0,0
sess_000034,nrpess_006205,2026-08-14 03:59:21.228656,atalho_direto,54.40363571310636,Select,Baixo Engajamento,10084.4,605.68,3,0,0.09,CAMP_0106,Cartão Black,Pós-Pix Transacional,Geral App,2026-08-12 18:58:59.465719,0.0,33.00604526027778,0.135225082120425,0
sess_000035,nrpess_011116,2026-08-10 15:46:33.361774,campo_unico,31.111851833973482,Select,Moderado,16983.48,1865.47,7,2,0.302,CAMP_0108,Pix Parcelado,Push Notification,Propensos a Cartão,2026-08-08 11:59:57.667801,0.0,51.776581659166666,0.03507492437020621,0
sess_000036,nrpess_009616,2026-08-06 11:54:34.671226,camera_scanner,48.2584853077472,Especial,Moderado,11630.8,2982.64,5,1,0.24,CAMP_0104,Consórcio Auto,Push Notification,Alta Renda Pix,2026-08-06 09:32:36.005092,0.0,2.366296148333333,0.6629077286198912,0
sess_000037,nrpess_006316,2026-08-17 21:47:13.371688,atalho_direto,32.432824315814,Especial,Moderado,9539.73,1338.47,7,3,0.328,CAMP_0108,Pix Parcelado,Push Notification,Geral App,2026-08-06 17:29:04.904127,0.0,268.3023521002778,0.0,0
sess_000038,nrpess_009016,2026-08-20 00:20:44.680858,campo_unico,92.91996367392572,Varejo,Baixo Engajamento,2348.92,699.44,2,1,0.107,CAMP_0110,Cartão Black,Push Notification,Alta Renda Pix,2026-08-02 09:31:06.395171,0.0,422.82730157972225,0.0,0
sess_000039,nrpess_004086,2026-08-03 23:56:28.570311,campo_unico,54.97031734728187,Varejo,Baixo Engajamento,3808.51,490.99,4,2,0.192,,Transação Padrão,Orgânico Puro (Sem Campanha),,,,999.0,0.0,0
sess_000040,nrpess_008400,2026-08-05 08:49:13.042352,camera_scanner,35.417810318105786,Varejo,Moderado,1445.28,1956.9,7,4,0.384,CAMP_0102,Cartão Black,Push Notification,Especial sem Seguro,2026-08-04 08:42:50.118757,0.0,24.106367665277777,0.15305671900391746,1
sess_000043,nrpess_015746,2026-08-15 08:11:10.802850,campo_unico,44.656252386795515,Especial,Baixo Engajamento,7039.5,458.01,3,1,0.126,CAMP_0101,Seguro Pix,Banner Home,Propensos a Cartão,2026-08-14 21:59:19.189710,0.0,10.197670316666667,0.4849471131624456,1
sess_000044,nrpess_004181,2026-08-23 22:24:57.498092,campo_unico,34.85479084277893,Especial,Baixo Engajamento,16328.23,837.24,0,1,0.061,,Transação Padrão,Orgânico Puro (Sem Campanha),,,,999.0,0.0,0
sess_000045,nrpess_016787,2026-08-22 05:57:48.384597,camera_scanner,70.50307563945034,Especial,Moderado,9289.13,1206.45,6,4,0.34,,Transação Padrão,Orgânico Puro (Sem Campanha),,,,999.0,0.0,0
sess_000046,nrpess_013296,2026-08-03 11:08:09.855670,campo_unico,48.29119735522915,Private,Moderado,101469.55,1874.52,3,4,0.282,CAMP_0111,Seguro Pix,Push Notification,Alta Renda Pix,2026-08-02 09:52:06.764091,0.0,25.267525438611113,0.16682745381364322,0
sess_000047,nrpess_013089,2026-08-07 11:24:15.174596,camera_scanner,57.27616336639461,Varejo,Baixo Engajamento,2146.15,1131.17,0,1,0.068,CAMP_0113,Pix Parcelado,Pós-Pix Transacional,Especial sem Seguro,2026-08-06 11:30:53.849924,0.0,23.889256853333332,0.23449522578553406,0
sess_000050,nrpess_023202,2026-08-19 10:10:35.756073,camera_scanner,56.15569583832266,Select,Baixo Engajamento,16716.95,548.74,4,2,0.194,CAMP_0108,Seguro Pix,Banner Home,Alta Renda Pix,2026-08-06 20:44:32.334654,0.0,301.43428372750003,0.0,1
sess_000053,nrpess_011009,2026-08-15 20:10:41.800440,camera_scanner,55.97371306548919,Varejo,Moderado,2371.97,1564.08,7,2,0.294,CAMP_0114,Seguro Pix,Pós-Pix Transacional,Alta Renda Pix,2026-08-08 07:09:21.773859,1.0,181.02222960583333,0.0,1
sess_000054,nrpess_017757,2026-08-19 14:55:33.429034,campo_unico,35.7015143157175,Especial,Moderado,10572.0,1477.69,12,3,0.457,CAMP_0101,Cartão Black,Pós-Pix Transacional,Propensos a Cartão,2026-08-13 08:43:45.754323,0.0,150.19657630861113,0.0,1
sess_000055,nrpess_001140,2026-08-14 04:54:11.055085,campo_unico,48.143502480789536,Select,Moderado,26047.54,604.56,10,3,0.385,CAMP_0102,Pix Parcelado,Pós-Pix Transacional,Propensos a Cartão,2026-08-03 02:24:56.398258,0.0,266.48740467416667,0.0,0
sess_000057,nrpess_018245,2026-08-20 09:51:21.252752,camera_scanner,99.92663713577599,Especial,Baixo Engajamento,5305.45,630.02,1,1,0.081,CAMP_0101,Pix Parcelado,Push Notification,Especial sem Seguro,2026-08-08 19:29:21.411208,0.0,278.36662265111113,0.0,1
sess_000060,nrpess_005930,2026-08-11 00:17:23.461766,campo_unico,41.95875772151571,Varejo,Moderado,1686.25,2004.25,10,3,0.42,,Transação Padrão,Orgânico Puro (Sem Campanha),,,,999.0,0.0,0
sess_000062,nrpess_008625,2026-08-19 19:38:36.934886,campo_unico,35.769057055296145,Especial,Baixo Engajamento,9611.66,525.97,3,0,0.088,CAMP_0105,Seguro Pix,Banner Home,Alta Renda Pix,2026-08-19 04:16:26.934865,0.0,15.369444450277777,0.3753526807962171,0
sess_000064,nrpess_023539,2026-08-15 08:34:51.386936,atalho_direto,5.0,Especial,Muito Engajado,8341.58,3196.35,22,6,0.87,CAMP_0106,Pix Parcelado,Banner Home,Especial sem Seguro,2026-08-13 08:50:46.121897,1.0,47.73479584416666,0.008250423405896582,1
sess_000066,nrpess_014244,2026-08-19 17:55:17.298354,atalho_direto,39.43652731911891,Especial,Muito Engajado,7747.66,3382.21,14,7,0.715,CAMP_0109,Cartão Black,Push Notification,Especial sem Seguro,2026-08-11 19:04:24.193066,0.0,190.84808480222222,0.0,0
sess_000067,nrpess_011418,2026-08-13 22:43:28.487190,atalho_direto,46.44110744544468,Especial,Muito Engajado,5161.34,3886.39,12,4,0.557,CAMP_0103,Pix Parcelado,Banner Home,Geral App,2026-08-13 17:39:10.700626,0.0,5.071607378888889,0.3305051496007433,1
sess_000069,nrpess_011689,2026-08-19 19:33:56.752025,atalho_direto,37.780615154618715,Especial,Moderado,8981.14,2331.01,9,5,0.483,,Transação Padrão,Orgânico Puro (Sem Campanha),,,,999.0,0.0,0
sess_000072,nrpess_000384,2026-08-08 08:39:06.744680,camera_scanner,70.74443786045367,Especial,Moderado,8388.72,2624.97,7,2,0.321,CAMP_0107,Seguro Pix,Push Notification,Geral App,2026-08-02 22:38:12.644169,0.0,130.01502791972223,0.0,1
sess_000073,nrpess_010745,2026-08-14 17:57:53.850784,camera_scanner,78.10387122812628,Especial,Baixo Engajamento,9107.85,598.54,1,2,0.12,CAMP_0112,Cartão Black,Banner Home,Alta Renda Pix,2026-08-13 04:11:54.017173,0.0,37.7666204475,0.09932888026317511,0
sess_000074,nrpess_015039,2026-08-20 07:22:27.263242,campo_unico,66.56258037693159,Varejo,Moderado,2202.59,2526.16,5,5,0.388,,Transação Padrão,Orgânico Puro (Sem Campanha),,,,999.0,0.0,0
sess_000077,nrpess_016369,2026-08-21 01:33:20.094358,campo_unico,42.40700985169,Varejo,Muito Engajado,670.45,3348.29,23,6,0.899,CAMP_0109,Seguro Pix,Push Notification,Geral App,2026-08-18 13:59:32.021972,1.0,59.56335344055556,0.0032368683648786967,1
sess_000078,nrpess_006466,2026-08-19 02:24:50.812561,camera_scanner,65.47199262749615,Especial,Baixo Engajamento,9923.9,522.95,4,0,0.113,CAMP_0113,Consórcio Auto,Pós-Pix Transacional,Especial sem Seguro,2026-08-08 17:58:04.796575,1.0,248.44611555166665,0.0,1
sess_000079,nrpess_022668,2026-08-20 23:28:13.860374,atalho_direto,73.93600428823927,Varejo,Moderado,604.29,1030.71,9,1,0.291,CAMP_0104,Consórcio Auto,Push Notification,Alta Renda Pix,2026-08-20 03:32:27.856111,0.0,19.92944562861111,0.2242329811831876,0
sess_000080,nrpess_018301,2026-08-17 20:41:42.448804,camera_scanner,49.39819428464962,Varejo,Moderado,2002.78,2264.45,7,1,0.272,CAMP_0101,Cartão Black,Pós-Pix Transacional,Alta Renda Pix,2026-08-15 14:42:07.059001,0.0,53.993163834166666,0.03218606542465804,0
sess_000084,nrpess_017403,2026-08-16 04:02:47.315435,camera_scanner,79.82728851327535,Especial,Muito Engajado,2768.15,2312.05,18,2,0.588,,Transação Padrão,Orgânico Puro (Sem Campanha),,,,999.0,0.0,0
sess_000086,nrpess_001462,2026-08-19 10:24:16.318554,campo_unico,76.40561711434395,Varejo,Baixo Engajamento,1634.07,404.66,2,1,0.1,CAMP_0103,Seguro Pix,Banner Home,Alta Renda Pix,2026-08-09 10:55:04.251188,0.0,239.48668537944445,0.0,0
sess_000088,nrpess_009266,2026-08-14 19:26:46.309042,campo_unico,45.180512033823,Varejo,Moderado,1692.53,2147.74,7,2,0.309,,Transação Padrão,Orgânico Puro (Sem Campanha),,,,999.0,0.0,0
sess_000090,nrpess_006336,2026-08-20 14:48:18.598149,campo_unico,47.56061943114354,Varejo,Muito Engajado,2793.2,2153.73,22,10,0.95,CAMP_0104,Cartão Black,Banner Home,Especial sem Seguro,2026-08-15 19:52:50.362644,0.0,114.9245098625,0.0,1
sess_000091,nrpess_009658,2026-08-12 13:09:11.379463,campo_unico,58.74106870984707,Especial,Baixo Engajamento,6145.47,778.56,2,2,0.149,CAMP_0110,Consórcio Auto,Banner Home,Especial sem Seguro,2026-08-10 23:42:52.675610,0.0,37.43852884805556,0.09789327966571805,1
sess_000093,nrpess_024559,2026-08-07 12:02:02.344263,campo_unico,52.59615690449371,Varejo,Baixo Engajamento,3394.86,441.07,2,2,0.141,,Transação Padrão,Orgânico Puro (Sem Campanha),,,,999.0,0.0,0
sess_000094,nrpess_012991,2026-08-14 22:37:04.332084,camera_scanner,57.97302120073908,Especial,Muito Engajado,8618.65,4370.53,19,7,0.864,,Transação Padrão,Orgânico Puro (Sem Campanha),,,,999.0,0.0,0
sess_000095,nrpess_002898,2026-08-13 18:06:02.803310,campo_unico,44.78327768873522,Varejo,Moderado,152.35,2048.85,7,5,0.426,CAMP_0105,Pix Parcelado,Carrossel Ofertas,Especial sem Seguro,2026-08-07 04:01:14.253081,0.0,158.0801528413889,0.0,1
sess_000097,nrpess_014246,2026-08-11 09:06:02.598324,atalho_direto,47.98866460341285,Varejo,Moderado,1355.33,1631.33,7,3,0.336,,Transação Padrão,Orgânico Puro (Sem Campanha),,,,999.0,0.0,0
sess_000099,nrpess_003490,2026-08-20 12:45:24.426843,campo_unico,49.389554009160875,Varejo,Baixo Engajamento,1417.65,1172.77,1,1,0.094,,Transação Padrão,Orgânico Puro (Sem Campanha),,,,999.0,0.0,0
sess_000100,nrpess_000264,2026-08-11 18:22:56.500036,campo_unico,20.824806381239668,Select,Moderado,30379.81,1991.52,6,5,0.4,CAMP_0111,Consórcio Auto,Carrossel Ofertas,Geral App,2026-08-07 07:16:08.872096,0.0,107.11322998333333,0.0,0
sess_000101,nrpess_006188,2026-08-09 04:25:00.909260,camera_scanner,10.459679733168002,Varejo,Moderado,908.2,2706.45,8,3,0.388,CAMP_0107,Pix Parcelado,Carrossel Ofertas,Especial sem Seguro,2026-08-06 13:32:25.451442,0.0,62.87651606055555,0.016197263312032473,0
sess_000102,nrpess_016134,2026-08-11 21:09:34.535398,atalho_direto,77.03927541642088,Varejo,Baixo Engajamento,1089.09,874.03,5,0,0.147,CAMP_0104,Pix Parcelado,Pós-Pix Transacional,Geral App,2026-08-02 11:04:02.337302,0.0,226.09227724888888,0.0,1
sess_000104,nrpess_017568,2026-08-20 15:10:22.519109,camera_scanner,22.950097137238657,Especial,Moderado,6370.16,2221.25,7,4,0.391,,Transação Padrão,Orgânico Puro (Sem Campanha),,,,999.0,0.0,0
sess_000107,nrpess_004393,2026-08-10 16:56:26.297135,campo_unico,34.64266302441273,Varejo,Baixo Engajamento,706.45,1045.27,2,2,0.156,,Transação Padrão,Orgânico Puro (Sem Campanha),,,,999.0,0.0,0
sess_000108,nrpess_018984,2026-08-03 07:29:25.033815,campo_unico,58.281396997423236,Especial,Moderado,9520.07,2468.69,6,3,0.332,CAMP_0112,Seguro Pix,Banner Home,Propensos a Cartão,2026-08-02 22:55:26.752246,0.0,8.566189324722222,0.4072737954329906,1
sess_000110,nrpess_009818,2026-08-19 17:24:29.420254,atalho_direto,31.138315583773295,Varejo,Baixo Engajamento,2319.58,403.2,1,0,0.05,CAMP_0106,Pix Parcelado,Push Notification,Propensos a Cartão,2026-08-05 17:24:42.597494,1.0,335.9963396555555,0.0,0
sess_000111,nrpess_020688,2026-08-16 02:25:41.186434,campo_unico,47.78956628879668,Select,Moderado,33863.39,2730.58,6,3,0.338,,Transação Padrão,Orgânico Puro (Sem Campanha),,,,999.0,0.0,0
sess_000112,nrpess_007607,2026-08-15 05:48:31.107762,atalho_direto,46.73623825575065,Especial,Moderado,12293.21,2496.52,9,3,0.407,CAMP_0108,Seguro Pix,Banner Home,Propensos a Cartão,2026-08-11 00:12:53.909404,0.0,101.59366621055557,0.0,1
sess_000113,nrpess_000782,2026-08-13 18:36:56.577063,atalho_direto,39.02779956016351,Varejo,Muito Engajado,2101.15,3916.61,21,8,0.943,,Transação Padrão,Orgânico Puro (Sem Campanha),,,,999.0,0.0,0
sess_000115,nrpess_000125,2026-08-14 12:26:56.528243,campo_unico,35.25341838078136,Varejo,Baixo Engajamento,340.78,754.55,3,0,0.094,CAMP_0101,Seguro Pix,Carrossel Ofertas,Geral App,2026-08-06 18:08:20.795843,0.0,186.30992566666666,0.0,0
sess_000116,nrpess_022709,2026-08-22 23:38:19.124984,campo_unico,65.10579519694618,Varejo,Baixo Engajamento,1794.68,448.24,1,0,0.05,CAMP_0108,Pix Parcelado,Push Notification,Especial sem Seguro,2026-08-20 23:15:17.065316,0.0,48.383905463333335,0.05807283585061699,0
sess_000117,nrpess_003937,2026-08-02 17:14:50.905099,campo_unico,71.0285685073121,Varejo,Moderado,808.02,2219.09,3,4,0.29,CAMP_0105,Consórcio Auto,Banner Home,Alta Renda Pix,2026-08-02 10:48:35.622622,0.0,6.437578465833334,0.4895153678306966,1
sess_000118,nrpess_023765,2026-08-15 22:18:36.695745,atalho_direto,56.17895608347156,Especial,Moderado,12829.02,2330.68,8,3,0.378,CAMP_0106,Pix Parcelado,Push Notification,Geral App,2026-08-09 15:39:32.704368,0.0,150.65110871583335,0.0,0
sess_000119,nrpess_005261,2026-08-13 10:11:56.178252,atalho_direto,51.14108663517049,Select,Moderado,41032.39,2202.47,16,3,0.575,CAMP_0106,Cartão Black,Banner Home,Especial sem Seguro,2026-08-04 16:16:47.867510,0.0,209.9189752061111,0.0,1
sess_000120,nrpess_000086,2026-08-21 11:48:10.101545,campo_unico,59.59548267202175,Especial,Baixo Engajamento,6296.62,591.95,4,0,0.115,CAMP_0101,Cartão Black,Pós-Pix Transacional,Alta Renda Pix,2026-08-09 12:16:23.724376,0.0,287.5295492136111,0.0,1
sess_000121,nrpess_002940,2026-08-01 21:09:26.214013,campo_unico,50.56181370651733,Varejo,Muito Engajado,2162.37,4695.7,19,9,0.95,,Transação Padrão,Orgânico Puro (Sem Campanha),,,,999.0,0.0,0
sess_000122,nrpess_016156,2026-08-11 14:20:08.194410,camera_scanner,59.659811133103176,Varejo,Moderado,1301.27,1491.35,9,3,0.382,,Transação Padrão,Orgânico Puro (Sem Campanha),,,,999.0,0.0,0
sess_000123,nrpess_012768,2026-08-20 17:11:23.502411,campo_unico,21.419415133059243,Varejo,Baixo Engajamento,1186.95,140.77,1,0,0.05,,Transação Padrão,Orgânico Puro (Sem Campanha),,,,999.0,0.0,0
sess_000125,nrpess_019894,2026-08-20 02:20:25.921016,atalho_direto,49.56413705289435,Varejo,Moderado,965.49,1934.62,5,2,0.253,,Transação Padrão,Orgânico Puro (Sem Campanha),,,,999.0,0.0,0
sess_000127,nrpess_001911,2026-08-08 14:36:38.890639,campo_unico,72.53833580635309,Select,Baixo Engajamento,27074.61,633.96,2,0,0.066,,Transação Padrão,Orgânico Puro (Sem Campanha),,,,999.0,0.0,0
sess_000128,nrpess_020386,2026-08-21 04:45:05.429032,atalho_direto,19.73906595172341,Select,Baixo Engajamento,32350.15,511.9,0,0,0.05,CAMP_0100,Seguro Pix,Pós-Pix Transacional,Propensos a Cartão,2026-08-19 19:47:45.106041,0.0,32.955645275277774,0.1415806143274539,0
sess_000129,nrpess_019752,2026-08-13 08:50:42.287820,atalho_direto,70.39490644120494,Varejo,Moderado,535.52,2177.93,8,6,0.494,CAMP_0105,Consórcio Auto,Banner Home,Especial sem Seguro,2026-08-08 05:03:14.587287,0.0,123.79102792583333,0.0,0
sess_000130,nrpess_007912,2026-08-08 00:49:00.543083,campo_unico,49.60498661286244,Especial,Moderado,9461.1,1988.99,8,3,0.37,,Transação Padrão,Orgânico Puro (Sem Campanha),,,,999.0,0.0,0
sess_000131,nrpess_001829,2026-08-05 08:42:50.817188,atalho_direto,46.0700157835665,Varejo,Muito Engajado,2512.04,4187.96,17,5,0.73,,Transação Padrão,Orgânico Puro (Sem Campanha),,,,999.0,0.0,0
sess_000132,nrpess_004236,2026-08-13 19:35:15.627093,camera_scanner,46.780974625785404,Varejo,Moderado,2091.35,1369.71,9,4,0.419,,Transação Padrão,Orgânico Puro (Sem Campanha),,,,999.0,0.0,0
sess_000134,nrpess_023380,2026-08-18 18:27:15.553217,campo_unico,50.73132182466666,Select,Moderado,26779.69,1617.51,7,2,0.295,,Transação Padrão,Orgânico Puro (Sem Campanha),,,,999.0,0.0,0
sess_000135,nrpess_017652,2026-08-20 15:17:49.430849,camera_scanner,58.10840083391771,Especial,Muito Engajado,7885.53,2751.43,16,6,0.709,CAMP_0110,Cartão Black,Carrossel Ofertas,Geral App,2026-08-10 20:27:25.692610,1.0,234.8399272886111,0.0,1
sess_000137,nrpess_001003,2026-08-10 20:48:36.596322,campo_unico,50.55523880679097,Especial,Moderado,9967.8,1687.78,7,5,0.417,,Transação Padrão,Orgânico Puro (Sem Campanha),,,,999.0,0.0,1
sess_000139,nrpess_013729,2026-08-09 08:15:43.813013,atalho_direto,45.02088622110798,Varejo,Moderado,1532.97,1688.61,9,3,0.387,CAMP_0100,Consórcio Auto,Banner Home,Alta Renda Pix,2026-08-06 17:05:26.580597,1.0,63.17145344888889,0.01594967891709562,1
sess_000140,nrpess_009167,2026-08-09 08:34:56.193772,atalho_direto,30.778253208114926,Varejo,Moderado,3002.77,1899.23,9,3,0.392,,Transação Padrão,Orgânico Puro (Sem Campanha),,,,999.0,0.0,1
sess_000142,nrpess_007517,2026-08-19 12:45:33.188606,campo_unico,30.09063878128929,Varejo,Baixo Engajamento,0.0,898.53,2,1,0.112,CAMP_0107,Seguro Pix,Banner Home,Geral App,2026-08-15 17:43:22.211843,0.0,91.03638243416667,0.0,0
sess_000143,nrpess_024645,2026-08-22 06:13:39.016267,campo_unico,56.45141625585585,Select,Muito Engajado,25925.62,3727.23,16,2,0.573,CAMP_0106,Consórcio Auto,Banner Home,Especial sem Seguro,2026-08-05 23:38:05.238023,1.0,390.59271617888885,0.0,1
sess_000145,nrpess_016802,2026-08-16 14:50:36.813809,campo_unico,47.91522071208397,Select,Moderado,27363.54,2805.69,13,2,0.475,CAMP_0113,Cartão Black,Banner Home,Propensos a Cartão,2026-08-15 22:24:59.244266,0.0,16.427102650833334,0.20326928057885915,0
sess_000146,nrpess_018411,2026-08-18 11:11:14.547359,campo_unico,23.69679291089615,Private,Baixo Engajamento,90150.91,460.52,2,0,0.062,CAMP_0110,Pix Parcelado,Banner Home,Alta Renda Pix,2026-08-07 14:03:59.079333,0.0,261.12096334055553,0.0,0
sess_000148,nrpess_023244,2026-08-21 20:42:04.208370,campo_unico,42.45899689354941,Especial,Moderado,6764.04,2128.77,10,2,0.383,CAMP_0107,Consórcio Auto,Carrossel Ofertas,Especial sem Seguro,2026-08-02 04:00:05.536623,0.0,472.6996310408333,0.0,1
sess_000149,nrpess_015971,2026-08-17 22:20:59.456320,camera_scanner,56.6471855463857,Varejo,Muito Engajado,1798.2,2741.29,16,8,0.789,CAMP_0112,Pix Parcelado,Banner Home,Alta Renda Pix,2026-08-04 06:00:46.184589,0.0,328.33701992527773,0.0,0
sess_000150,nrpess_016707,2026-08-09 14:17:36.577757,campo_unico,60.47328824214338,Private,Moderado,78006.52,1772.82,5,3,0.289,,Transação Padrão,Orgânico Puro (Sem Campanha),,,,999.0,0.0,0
sess_000151,nrpess_010070,2026-08-22 00:53:39.276215,campo_unico,52.99638867654608,Select,Moderado,27429.06,1333.09,9,3,0.378,,Transação Padrão,Orgânico Puro (Sem Campanha),,,,999.0,0.0,0
sess_000152,nrpess_017298,2026-08-13 17:14:25.161745,campo_unico,36.030366767896496,Especial,Moderado,11511.68,2261.05,3,2,0.212,CAMP_0113,Consórcio Auto,Banner Home,Propensos a Cartão,2026-08-10 00:43:03.104891,1.0,88.52279357055556,0.0,1
sess_000153,nrpess_016029,2026-08-07 14:33:13.511059,camera_scanner,25.98583551916103,Select,Muito Engajado,7460.56,3110.63,17,3,0.623,CAMP_0109,Cartão Black,Banner Home,Geral App,2026-08-05 05:23:02.108510,0.0,57.16983404138889,0.013873576792744978,0
