id_campanha,nrpess,nome_do_produto,espaco_veiculacao,tag_publico_macro,dt_exposicao,clicou_flag
CAMP_0106,nrpess_020269,Pix Parcelado,Push Notification,Especial sem Seguro,2026-08-06 01:32:32.413008,0
CAMP_0111,nrpess_010513,Cartão Black,Carrossel Ofertas,Especial sem Seguro,2026-08-01 11:43:55.843209,1
CAMP_0104,nrpess_008702,Seguro Pix,Banner Home,Propensos a Cartão,2026-08-02 14:28:22.280008,0
CAMP_0101,nrpess_001842,Cartão Black,Pós-Pix Transacional,Alta Renda Pix,2026-08-07 04:49:06.803555,0
CAMP_0106,nrpess_023650,Consórcio Auto,Banner Home,Geral App,2026-08-10 09:20:30.113776,0
CAMP_0107,nrpess_003399,Seguro Pix,Banner Home,Geral App,2026-08-02 13:04:36.137809,0
CAMP_0106,nrpess_014081,Consórcio Auto,Pós-Pix Transacional,Alta Renda Pix,2026-08-08 09:57:49.359756,0
CAMP_0108,nrpess_024502,Cartão Black,Banner Home,Especial sem Seguro,2026-08-03 01:32:11.898058,0
CAMP_0112,nrpess_007744,Cartão Black,Push Notification,Propensos a Cartão,2026-08-08 05:11:53.833292,1
CAMP_0100,nrpess_018904,Pix Parcelado,Push Notification,Propensos a Cartão,2026-08-09 08:23:27.809510,0
CAMP_0106,nrpess_015983,Pix Parcelado,Pós-Pix Transacional,Alta Renda Pix,2026-08-02 19:04:22.128145,0
CAMP_0101,nrpess_022086,Cartão Black,Banner Home,Alta Renda Pix,2026-08-12 19:50:40.388411,0
CAMP_0105,nrpess_000291,Seguro Pix,Banner Home,Geral App,2026-08-18 09:28:07.463171,0
CAMP_0114,nrpess_011338,Consórcio Auto,Push Notification,Propensos a Cartão,2026-08-20 10:54:29.669794,0
CAMP_0107,nrpess_006376,Cartão Black,Push Notification,Propensos a Cartão,2026-08-05 16:21:20.012062,0
CAMP_0107,nrpess_023128,Cartão Black,Push Notification,Alta Renda Pix,2026-08-14 10:40:44.934546,1
CAMP_0101,nrpess_006597,Consórcio Auto,Push Notification,Geral App,2026-08-20 00:47:23.467861,0
CAMP_0109,nrpess_024566,Consórcio Auto,Banner Home,Alta Renda Pix,2026-08-08 07:37:06.215692,0
CAMP_0109,nrpess_009850,Cartão Black,Pós-Pix Transacional,Propensos a Cartão,2026-08-08 08:35:03.846995,0
CAMP_0109,nrpess_022775,Pix Parcelado,Pós-Pix Transacional,Geral App,2026-08-13 02:00:07.116166,1
CAMP_0106,nrpess_019170,Seguro Pix,Carrossel Ofertas,Geral App,2026-08-19 09:45:40.565773,0
CAMP_0107,nrpess_011981,Seguro Pix,Banner Home,Alta Renda Pix,2026-08-14 07:35:41.146900,0
CAMP_0113,nrpess_014353,Cartão Black,Push Notification,Propensos a Cartão,2026-08-18 23:48:10.559938,0
CAMP_0100,nrpess_017628,Seguro Pix,Pós-Pix Transacional,Propensos a Cartão,2026-08-03 15:00:19.177660,1
CAMP_0113,nrpess_009087,Pix Parcelado,Carrossel Ofertas,Geral App,2026-08-14 09:19:26.856484,1
CAMP_0114,nrpess_008971,Pix Parcelado,Pós-Pix Transacional,Geral App,2026-08-09 03:55:36.147914,0
CAMP_0102,nrpess_014231,Seguro Pix,Pós-Pix Transacional,Geral App,2026-08-08 09:01:22.667700,0
CAMP_0113,nrpess_012339,Pix Parcelado,Pós-Pix Transacional,Especial sem Seguro,2026-08-15 18:29:04.586584,0
CAMP_0104,nrpess_023951,Seguro Pix,Pós-Pix Transacional,Propensos a Cartão,2026-08-05 19:29:22.543415,0
CAMP_0102,nrpess_004946,Consórcio Auto,Pós-Pix Transacional,Alta Renda Pix,2026-08-03 18:50:57.328014,1
CAMP_0112,nrpess_009472,Pix Parcelado,Banner Home,Especial sem Seguro,2026-08-14 02:14:39.039208,0
CAMP_0113,nrpess_014624,Seguro Pix,Banner Home,Alta Renda Pix,2026-08-12 19:34:30.825599,0
CAMP_0100,nrpess_016040,Consórcio Auto,Pós-Pix Transacional,Propensos a Cartão,2026-08-07 09:43:20.172034,0
CAMP_0101,nrpess_017132,Pix Parcelado,Pós-Pix Transacional,Geral App,2026-08-07 23:18:46.421302,0
CAMP_0102,nrpess_008324,Seguro Pix,Pós-Pix Transacional,Propensos a Cartão,2026-08-03 15:45:00.643570,0
CAMP_0104,nrpess_024701,Consórcio Auto,Push Notification,Especial sem Seguro,2026-08-03 04:28:10.404198,0
CAMP_0109,nrpess_004649,Cartão Black,Banner Home,Alta Renda Pix,2026-08-06 09:02:49.789260,0
CAMP_0104,nrpess_024689,Pix Parcelado,Pós-Pix Transacional,Alta Renda Pix,2026-08-09 03:59:38.071016,0
CAMP_0112,nrpess_016596,Seguro Pix,Banner Home,Propensos a Cartão,2026-08-06 05:45:55.726798,0
CAMP_0108,nrpess_001640,Cartão Black,Banner Home,Especial sem Seguro,2026-08-04 18:31:23.145502,1
CAMP_0109,nrpess_023792,Consórcio Auto,Banner Home,Geral App,2026-08-15 21:11:38.793906,1
CAMP_0106,nrpess_022084,Seguro Pix,Carrossel Ofertas,Geral App,2026-08-20 05:22:22.803766,0
CAMP_0106,nrpess_011006,Cartão Black,Push Notification,Geral App,2026-08-21 13:59:57.780275,0
CAMP_0102,nrpess_005186,Cartão Black,Push Notification,Especial sem Seguro,2026-08-02 16:19:31.593489,0
CAMP_0106,nrpess_001479,Cartão Black,Banner Home,Alta Renda Pix,2026-08-19 01:27:54.698638,0
CAMP_0102,nrpess_022637,Pix Parcelado,Pós-Pix Transacional,Alta Renda Pix,2026-08-19 10:38:30.731355,0
CAMP_0111,nrpess_001443,Pix Parcelado,Pós-Pix Transacional,Alta Renda Pix,2026-08-08 05:56:20.304315,0
CAMP_0104,nrpess_019354,Pix Parcelado,Carrossel Ofertas,Alta Renda Pix,2026-08-06 10:53:12.954186,0
CAMP_0109,nrpess_002484,Pix Parcelado,Push Notification,Propensos a Cartão,2026-08-17 12:23:41.292980,0
CAMP_0106,nrpess_019512,Cartão Black,Banner Home,Propensos a Cartão,2026-08-04 20:02:53.455495,0
CAMP_0105,nrpess_019466,Cartão Black,Push Notification,Alta Renda Pix,2026-08-13 00:07:05.877421,0
CAMP_0113,nrpess_011375,Seguro Pix,Push Notification,Geral App,2026-08-16 16:50:50.193676,0
CAMP_0102,nrpess_016995,Consórcio Auto,Banner Home,Geral App,2026-08-19 13:59:30.547827,0
CAMP_0101,nrpess_019045,Cartão Black,Pós-Pix Transacional,Especial sem Seguro,2026-08-13 18:03:46.847535,0
CAMP_0111,nrpess_024637,Seguro Pix,Banner Home,Especial sem Seguro,2026-08-04 18:10:15.704009,0
CAMP_0105,nrpess_024390,Cartão Black,Banner Home,Propensos a Cartão,2026-08-17 01:40:39.757399,0
CAMP_0110,nrpess_007374,Pix Parcelado,Banner Home,Alta Renda Pix,2026-08-10 03:22:27.837272,1
CAMP_0109,nrpess_003151,Pix Parcelado,Push Notification,Propensos a Cartão,2026-08-20 07:48:33.897328,0
CAMP_0108,nrpess_015361,Pix Parcelado,Push Notification,Alta Renda Pix,2026-08-17 00:53:24.234732,0
CAMP_0107,nrpess_011127,Consórcio Auto,Pós-Pix Transacional,Propensos a Cartão,2026-08-19 13:14:36.307831,0
CAMP_0110,nrpess_019703,Seguro Pix,Pós-Pix Transacional,Alta Renda Pix,2026-08-08 22:30:50.908918,1
CAMP_0107,nrpess_016154,Pix Parcelado,Carrossel Ofertas,Propensos a Cartão,2026-08-02 07:23:07.861089,0
CAMP_0100,nrpess_006897,Cartão Black,Pós-Pix Transacional,Alta Renda Pix,2026-08-18 06:35:10.908344,0
CAMP_0103,nrpess_011774,Seguro Pix,Banner Home,Geral App,2026-08-08 16:27:26.062685,0
CAMP_0109,nrpess_016029,Cartão Black,Banner Home,Geral App,2026-08-05 05:23:02.108510,0
CAMP_0114,nrpess_012324,Consórcio Auto,Pós-Pix Transacional,Geral App,2026-08-20 17:32:18.577344,1
CAMP_0106,nrpess_001051,Seguro Pix,Pós-Pix Transacional,Geral App,2026-08-20 00:41:11.387204,0
CAMP_0113,nrpess_014782,Pix Parcelado,Pós-Pix Transacional,Especial sem Seguro,2026-08-05 02:24:05.506939,0
CAMP_0109,nrpess_003835,Consórcio Auto,Pós-Pix Transacional,Propensos a Cartão,2026-08-20 10:24:30.759656,0
CAMP_0100,nrpess_008098,Seguro Pix,Pós-Pix Transacional,Especial sem Seguro,2026-08-15 03:40:46.044171,0
CAMP_0101,nrpess_007422,Seguro Pix,Push Notification,Alta Renda Pix,2026-08-17 19:59:03.095562,1
CAMP_0103,nrpess_002894,Pix Parcelado,Carrossel Ofertas,Propensos a Cartão,2026-08-04 00:55:59.023897,0
CAMP_0114,nrpess_007838,Consórcio Auto,Banner Home,Geral App,2026-08-18 05:41:36.997447,0
CAMP_0109,nrpess_016702,Pix Parcelado,Banner Home,Alta Renda Pix,2026-08-04 07:20:23.616957,0
CAMP_0105,nrpess_013182,Cartão Black,Banner Home,Geral App,2026-08-09 11:36:49.536237,0
CAMP_0110,nrpess_010320,Seguro Pix,Banner Home,Alta Renda Pix,2026-08-14 05:52:12.835334,0
CAMP_0108,nrpess_022871,Pix Parcelado,Banner Home,Especial sem Seguro,2026-08-19 17:17:02.097511,0
CAMP_0101,nrpess_020382,Seguro Pix,Pós-Pix Transacional,Propensos a Cartão,2026-08-21 03:41:44.782516,0
CAMP_0107,nrpess_015391,Seguro Pix,Pós-Pix Transacional,Geral App,2026-08-16 05:22:43.833581,0
CAMP_0112,nrpess_013649,Consórcio Auto,Banner Home,Propensos a Cartão,2026-08-07 20:37:32.151050,0
CAMP_0114,nrpess_021115,Consórcio Auto,Carrossel Ofertas,Alta Renda Pix,2026-08-22 06:03:30.467939,0
CAMP_0113,nrpess_015874,Seguro Pix,Banner Home,Geral App,2026-08-15 16:33:35.284615,0
CAMP_0109,nrpess_001396,Cartão Black,Carrossel Ofertas,Alta Renda Pix,2026-08-05 20:45:07.190239,1
CAMP_0112,nrpess_005750,Seguro Pix,Banner Home,Alta Renda Pix,2026-08-20 20:52:10.302544,0
CAMP_0103,nrpess_004133,Cartão Black,Pós-Pix Transacional,Alta Renda Pix,2026-08-06 19:57:17.684863,0
CAMP_0107,nrpess_023647,Seguro Pix,Banner Home,Propensos a Cartão,2026-08-21 11:46:29.942355,1
CAMP_0103,nrpess_018796,Cartão Black,Carrossel Ofertas,Alta Renda Pix,2026-08-07 13:11:44.199490,0
CAMP_0108,nrpess_016126,Seguro Pix,Banner Home,Geral App,2026-08-16 09:32:18.701248,0
CAMP_0102,nrpess_005203,Cartão Black,Pós-Pix Transacional,Geral App,2026-08-13 13:23:16.597654,1
CAMP_0102,nrpess_004920,Seguro Pix,Pós-Pix Transacional,Geral App,2026-08-05 23:37:38.196597,0
CAMP_0111,nrpess_013237,Seguro Pix,Banner Home,Alta Renda Pix,2026-08-04 20:55:24.495459,0
CAMP_0102,nrpess_004349,Consórcio Auto,Pós-Pix Transacional,Propensos a Cartão,2026-08-10 23:52:07.414340,0
CAMP_0107,nrpess_005887,Seguro Pix,Push Notification,Especial sem Seguro,2026-08-03 10:05:30.296053,0
CAMP_0108,nrpess_015058,Seguro Pix,Banner Home,Alta Renda Pix,2026-08-14 06:07:11.871963,0
CAMP_0110,nrpess_020498,Consórcio Auto,Banner Home,Alta Renda Pix,2026-08-06 06:17:49.285841,0
CAMP_0114,nrpess_001935,Cartão Black,Banner Home,Geral App,2026-08-12 02:03:14.077071,1
CAMP_0102,nrpess_023476,Pix Parcelado,Push Notification,Propensos a Cartão,2026-08-12 00:03:01.976940,1
CAMP_0111,nrpess_010152,Pix Parcelado,Banner Home,Geral App,2026-08-20 22:02:35.841807,0
CAMP_0106,nrpess_007453,Pix Parcelado,Pós-Pix Transacional,Especial sem Seguro,2026-08-04 19:40:26.751587,0
CAMP_0105,nrpess_012119,Consórcio Auto,Banner Home,Geral App,2026-08-04 01:50:55.991945,0
CAMP_0101,nrpess_013114,Pix Parcelado,Carrossel Ofertas,Propensos a Cartão,2026-08-02 22:36:03.746341,0
CAMP_0113,nrpess_001368,Seguro Pix,Banner Home,Geral App,2026-08-09 22:26:08.626043,0
CAMP_0108,nrpess_014628,Cartão Black,Banner Home,Propensos a Cartão,2026-08-08 05:22:05.920818,0
CAMP_0107,nrpess_012171,Pix Parcelado,Pós-Pix Transacional,Alta Renda Pix,2026-08-14 04:43:48.462527,1
CAMP_0108,nrpess_005448,Pix Parcelado,Carrossel Ofertas,Geral App,2026-08-13 04:12:06.747766,0
CAMP_0102,nrpess_002609,Consórcio Auto,Push Notification,Propensos a Cartão,2026-08-12 18:26:34.532591,1
CAMP_0114,nrpess_021222,Consórcio Auto,Pós-Pix Transacional,Alta Renda Pix,2026-08-04 11:12:48.267115,0
CAMP_0111,nrpess_008570,Seguro Pix,Pós-Pix Transacional,Alta Renda Pix,2026-08-02 14:58:15.087552,0
CAMP_0103,nrpess_009063,Seguro Pix,Pós-Pix Transacional,Alta Renda Pix,2026-08-19 05:58:48.569531,0
CAMP_0110,nrpess_010773,Seguro Pix,Push Notification,Alta Renda Pix,2026-08-09 20:06:56.383940,0
CAMP_0101,nrpess_016569,Seguro Pix,Push Notification,Alta Renda Pix,2026-08-14 08:44:50.481706,0
CAMP_0103,nrpess_021587,Seguro Pix,Banner Home,Propensos a Cartão,2026-08-06 11:38:59.320907,0
CAMP_0114,nrpess_014965,Pix Parcelado,Banner Home,Alta Renda Pix,2026-08-02 03:58:14.295458,0
CAMP_0114,nrpess_024927,Cartão Black,Banner Home,Geral App,2026-08-10 09:08:50.860003,1
CAMP_0106,nrpess_021598,Cartão Black,Banner Home,Geral App,2026-08-21 11:49:50.289900,1
CAMP_0109,nrpess_003439,Seguro Pix,Pós-Pix Transacional,Geral App,2026-08-19 13:34:07.766629,1
CAMP_0112,nrpess_006943,Seguro Pix,Push Notification,Geral App,2026-08-07 05:44:14.590659,0
CAMP_0104,nrpess_005711,Seguro Pix,Banner Home,Geral App,2026-08-11 22:06:41.909928,0
CAMP_0105,nrpess_023804,Seguro Pix,Banner Home,Propensos a Cartão,2026-08-10 21:40:39.406294,0
CAMP_0105,nrpess_023428,Pix Parcelado,Banner Home,Propensos a Cartão,2026-08-10 18:14:47.459408,0
CAMP_0113,nrpess_014841,Cartão Black,Pós-Pix Transacional,Especial sem Seguro,2026-08-13 10:01:07.170638,0
