nrpess,segmento,cluster_engajamento,saldo_medio_conta,gasto_cartao_mes,freq_pix_mes,freq_boletos_mes,prob_organica_base
nrpess_000034,Private,Baixo Engajamento,65768.44,618.75,3,3,0.21
nrpess_000035,Select,Moderado,29013.89,2216.79,10,3,0.425
nrpess_000036,Varejo,Muito Engajado,1484.59,3561.71,19,5,0.764
nrpess_000037,Varejo,Moderado,495.81,1522.89,9,3,0.383
nrpess_000038,Especial,Moderado,2400.47,2290.66,11,2,0.412
nrpess_000039,Varejo,Baixo Engajamento,1706.87,726.32,1,1,0.083
nrpess_000040,Varejo,Baixo Engajamento,2778.97,316.1,3,0,0.083
nrpess_000041,Varejo,Moderado,2252.23,2208.66,6,2,0.285
nrpess_000042,Varejo,Moderado,2939.31,1966.86,7,0,0.224
nrpess_000043,Select,Muito Engajado,17448.98,3232.3,20,6,0.821
nrpess_000044,Varejo,Muito Engajado,2057.47,2966.57,18,8,0.844
nrpess_000045,Especial,Muito Engajado,11599.29,2138.85,14,3,0.523
nrpess_000046,Varejo,Muito Engajado,2429.52,4267.97,19,11,0.95
nrpess_000047,Especial,Moderado,6598.39,1310.06,13,3,0.478
nrpess_000048,Especial,Moderado,10062.51,2205.97,2,9,0.465
nrpess_000049,Varejo,Moderado,2759.83,2103.85,10,5,0.503
nrpess_000050,Private,Moderado,106465.17,2519.61,10,6,0.553
nrpess_000051,Especial,Moderado,8089.15,1887.07,10,5,0.497
nrpess_000052,Select,Moderado,15492.35,1953.21,8,2,0.329
nrpess_000053,Select,Moderado,44715.01,1338.34,3,2,0.188
nrpess_000054,Especial,Baixo Engajamento,8944.03,638.69,1,0,0.05
nrpess_000055,Select,Muito Engajado,28367.47,3395.04,22,11,0.95
nrpess_000056,Varejo,Baixo Engajamento,2295.44,755.54,1,1,0.084
nrpess_000057,Varejo,Moderado,999.73,2656.57,4,4,0.326
nrpess_000058,Varejo,Moderado,2003.03,2030.74,10,3,0.421
nrpess_000059,Varejo,Muito Engajado,2374.2,2987.25,9,8,0.62
nrpess_000060,Varejo,Muito Engajado,1607.78,3289.85,18,11,0.95
nrpess_000061,Varejo,Moderado,2624.65,1521.29,12,7,0.618
nrpess_000062,Select,Moderado,18835.6,2462.53,6,2,0.292
nrpess_000063,Varejo,Moderado,1433.94,1453.24,9,3,0.381
nrpess_000064,Varejo,Moderado,2004.16,1597.42,4,2,0.22
nrpess_000065,Especial,Moderado,8161.4,1262.25,7,2,0.287
nrpess_000066,Varejo,Moderado,3782.65,1841.43,9,1,0.311
nrpess_000067,Select,Baixo Engajamento,29347.79,489.96,2,2,0.142
nrpess_000068,Varejo,Baixo Engajamento,951.36,395.61,3,0,0.085
nrpess_000069,Private,Moderado,57273.19,1771.31,7,4,0.379
nrpess_000070,Especial,Muito Engajado,7921.2,3821.3,20,6,0.836
nrpess_000071,Varejo,Muito Engajado,1016.77,4189.81,26,1,0.795
nrpess_000072,Varejo,Baixo Engajamento,2961.59,164.29,0,0,0.05
nrpess_000073,Select,Muito Engajado,22096.15,4176.29,18,3,0.674
nrpess_000074,Especial,Baixo Engajamento,8759.11,580.77,0,1,0.055
nrpess_000075,Especial,Moderado,10393.36,2552.9,6,3,0.334
nrpess_000076,Especial,Baixo Engajamento,9668.61,722.39,3,2,0.173
nrpess_000077,Varejo,Moderado,3464.58,1591.95,3,2,0.195
nrpess_000078,Varejo,Moderado,2641.72,1347.12,6,0,0.184
nrpess_000079,Varejo,Moderado,1927.85,1221.34,6,1,0.221
nrpess_000080,Select,Baixo Engajamento,24785.03,442.92,3,3,0.206
nrpess_000081,Especial,Baixo Engajamento,8058.27,1013.9,2,0,0.075
nrpess_000082,Varejo,Moderado,2457.65,745.15,7,1,0.234
nrpess_000083,Varejo,Baixo Engajamento,1317.91,745.68,2,2,0.149
nrpess_000084,Varejo,Moderado,2734.92,2200.91,8,3,0.375
nrpess_000085,Varejo,Baixo Engajamento,575.0,304.34,0,0,0.05
nrpess_000086,Especial,Baixo Engajamento,6296.62,591.95,4,0,0.115
nrpess_000087,Especial,Moderado,9576.12,1304.21,12,3,0.453
nrpess_000088,Select,Moderado,26023.75,445.91,12,0,0.311
nrpess_000089,Varejo,Moderado,2093.66,1399.82,4,2,0.215
nrpess_000090,Varejo,Moderado,1744.36,1268.23,6,4,0.342
nrpess_000091,Especial,Baixo Engajamento,6031.19,577.18,2,0,0.064
nrpess_000092,Especial,Moderado,12310.41,2040.27,5,2,0.256
nrpess_000093,Especial,Muito Engajado,7743.79,3072.74,19,4,0.712
nrpess_000094,Especial,Moderado,7429.1,2446.32,8,1,0.301
nrpess_000095,Varejo,Muito Engajado,2352.39,3628.71,18,9,0.901
nrpess_000096,Especial,Moderado,9229.49,1671.78,11,5,0.517
nrpess_000097,Varejo,Baixo Engajamento,2701.79,442.21,1,2,0.116
nrpess_000098,Varejo,Moderado,716.88,1327.31,12,8,0.653
nrpess_000099,Varejo,Baixo Engajamento,1056.1,61.91,2,0,0.052
nrpess_000100,Varejo,Muito Engajado,1935.92,4292.92,21,4,0.792
nrpess_000101,Especial,Baixo Engajamento,4431.46,574.53,0,2,0.094
nrpess_000102,Varejo,Moderado,822.81,1686.58,6,4,0.352
nrpess_000103,Especial,Muito Engajado,9975.69,4023.7,14,9,0.811
nrpess_000104,Select,Moderado,15418.21,828.17,13,3,0.466
nrpess_000105,Varejo,Baixo Engajamento,384.7,514.73,4,1,0.153
nrpess_000106,Varejo,Muito Engajado,0.0,4018.57,23,9,0.95
nrpess_000107,Especial,Moderado,8140.68,760.52,10,7,0.549
nrpess_000108,Varejo,Baixo Engajamento,1313.14,739.82,1,1,0.083
nrpess_000109,Varejo,Muito Engajado,2781.96,3129.64,16,7,0.758
nrpess_000110,Varejo,Moderado,1418.12,1672.46,8,4,0.402
nrpess_000111,Varejo,Moderado,1671.5,2170.21,8,1,0.294
nrpess_000112,Select,Moderado,8849.56,1297.66,7,3,0.327
nrpess_000113,Select,Moderado,26636.68,2260.12,9,5,0.482
nrpess_000114,Especial,Muito Engajado,6850.8,2154.05,16,3,0.574
nrpess_000115,Select,Baixo Engajamento,35056.55,910.04,4,2,0.203
nrpess_000116,Select,Muito Engajado,17067.66,2163.29,15,8,0.749
nrpess_000117,Varejo,Moderado,1915.36,1997.22,7,3,0.345
nrpess_000118,Select,Moderado,21893.55,1768.0,7,3,0.339
nrpess_000119,Especial,Moderado,7114.36,1313.53,10,4,0.443
nrpess_000120,Select,Moderado,9747.01,1726.07,9,1,0.308
nrpess_000121,Select,Baixo Engajamento,16089.64,838.87,3,1,0.136
nrpess_000122,Varejo,Baixo Engajamento,1064.95,755.74,1,0,0.05
nrpess_000123,Varejo,Baixo Engajamento,1368.49,800.81,4,1,0.16
nrpess_000124,Varejo,Moderado,1179.46,1769.12,8,3,0.364
nrpess_000125,Varejo,Baixo Engajamento,340.78,754.55,3,0,0.094
nrpess_000126,Select,Baixo Engajamento,12348.97,552.23,2,2,0.144
nrpess_000127,Select,Moderado,14787.49,2094.76,11,3,0.447
nrpess_000128,Varejo,Moderado,2296.26,1468.16,8,2,0.317
nrpess_000129,Especial,Muito Engajado,9265.08,4279.65,15,6,0.722
nrpess_000130,Varejo,Moderado,2687.58,2254.6,4,4,0.316
nrpess_000131,Varejo,Baixo Engajamento,1420.98,446.62,1,3,0.156
nrpess_000132,Varejo,Moderado,2152.09,968.39,8,2,0.304
nrpess_000133,Varejo,Moderado,2194.43,1329.43,10,2,0.363
nrpess_000134,Select,Muito Engajado,16962.31,3319.2,16,8,0.803
nrpess_000135,Varejo,Muito Engajado,374.68,3261.74,21,4,0.767
nrpess_000136,Especial,Moderado,3648.98,1180.73,6,1,0.22
nrpess_000137,Especial,Baixo Engajamento,9837.58,867.29,1,2,0.127
nrpess_000138,Varejo,Moderado,2847.58,1209.83,15,4,0.565
nrpess_000139,Private,Baixo Engajamento,79928.71,598.22,5,2,0.22
nrpess_000140,Private,Muito Engajado,77519.01,3618.42,16,4,0.65
nrpess_000141,Varejo,Moderado,1553.45,2135.07,13,1,0.418
nrpess_000142,Varejo,Moderado,1951.27,2008.66,6,6,0.44
nrpess_000143,Varejo,Baixo Engajamento,1309.58,877.2,2,0,0.072
nrpess_000144,Varejo,Muito Engajado,1723.69,3645.5,16,4,0.651
nrpess_000145,Varejo,Muito Engajado,3091.23,3187.95,13,9,0.765
nrpess_000146,Especial,Muito Engajado,6282.94,3203.37,15,6,0.695
nrpess_000147,Especial,Baixo Engajamento,8846.04,1021.78,3,2,0.181
nrpess_000148,Varejo,Muito Engajado,1596.64,2443.81,18,5,0.711
nrpess_000149,Varejo,Muito Engajado,1667.6,2797.5,12,5,0.57
nrpess_000150,Select,Moderado,17223.7,1871.07,6,2,0.277
nrpess_000151,Varejo,Moderado,2288.44,2272.18,7,1,0.272
nrpess_000152,Varejo,Baixo Engajamento,1863.24,279.02,3,1,0.122
nrpess_000153,Varejo,Baixo Engajamento,1149.64,666.99,3,3,0.212
nrpess_000154,Private,Moderado,79949.32,2217.5,11,2,0.41
nrpess_000155,Varejo,Baixo Engajamento,1093.1,506.48,1,0,0.05
nrpess_000156,Especial,Moderado,6426.45,1588.85,3,3,0.235
nrpess_000157,Especial,Moderado,9170.54,2160.69,7,2,0.309
nrpess_000158,Varejo,Baixo Engajamento,2734.95,952.24,1,2,0.129
nrpess_000159,Especial,Moderado,7923.73,1683.25,8,2,0.322
nrpess_000160,Varejo,Moderado,3031.48,1430.9,6,2,0.266
nrpess_000161,Especial,Moderado,5331.1,1211.63,6,1,0.22
nrpess_000162,Especial,Moderado,11255.27,1923.9,4,4,0.308
nrpess_000163,Especial,Muito Engajado,15318.26,4191.01,15,9,0.84
nrpess_000164,Varejo,Moderado,135.05,2100.15,6,6,0.443
nrpess_000165,Select,Baixo Engajamento,35333.88,693.66,1,1,0.082
nrpess_000166,Varejo,Moderado,1638.32,1623.87,7,1,0.256
nrpess_000167,Varejo,Muito Engajado,2031.56,3228.63,15,7,0.736
nrpess_000168,Varejo,Baixo Engajamento,2808.46,450.75,2,1,0.101
nrpess_000169,Especial,Muito Engajado,10959.37,3892.52,16,7,0.777
nrpess_000170,Especial,Moderado,8854.78,1529.95,8,2,0.318
nrpess_000171,Varejo,Moderado,1171.92,2005.58,8,3,0.37
nrpess_000172,Especial,Muito Engajado,10462.4,3290.34,22,12,0.95
nrpess_000173,Varejo,Moderado,2740.99,1842.58,13,5,0.571
nrpess_000174,Especial,Moderado,7129.02,1535.4,8,3,0.358
nrpess_000175,Varejo,Baixo Engajamento,2094.42,520.38,3,1,0.128
nrpess_000176,Especial,Baixo Engajamento,12076.65,971.3,2,1,0.114
nrpess_000177,Varejo,Baixo Engajamento,1743.58,767.7,1,0,0.05
nrpess_000178,Select,Moderado,31047.17,1888.38,10,4,0.457
nrpess_000179,Varejo,Moderado,72.54,1946.56,16,4,0.609
nrpess_000180,Varejo,Baixo Engajamento,1319.61,700.44,3,2,0.173
nrpess_000181,Varejo,Moderado,2038.13,2111.85,5,3,0.298
nrpess_000182,Select,Baixo Engajamento,25713.97,658.21,1,0,0.05
nrpess_000183,Select,Moderado,20593.1,2078.26,9,5,0.477
nrpess_000184,Varejo,Moderado,1092.15,1715.78,9,2,0.348
nrpess_000185,Especial,Moderado,6168.76,2019.11,7,6,0.465
nrpess_000186,Select,Moderado,21984.53,2320.81,9,5,0.483
nrpess_000187,Especial,Moderado,2134.13,2060.32,6,3,0.322
nrpess_000188,Especial,Moderado,3406.34,1176.8,9,6,0.494
nrpess_000189,Varejo,Moderado,1074.15,1551.61,5,3,0.284
nrpess_000190,Varejo,Baixo Engajamento,2611.02,658.62,2,2,0.146
nrpess_000191,Select,Baixo Engajamento,47989.3,77.39,1,1,0.067
nrpess_000192,Select,Muito Engajado,22752.91,3824.09,26,7,0.95
nrpess_000193,Especial,Muito Engajado,3313.17,4306.61,18,4,0.718
nrpess_000194,Varejo,Moderado,1636.32,3163.67,13,4,0.564
nrpess_000195,Varejo,Moderado,1181.97,2016.14,8,3,0.37
nrpess_000196,Especial,Muito Engajado,9409.31,3902.18,19,4,0.733
nrpess_000197,Select,Moderado,29252.06,2381.84,4,2,0.24
nrpess_000198,Select,Baixo Engajamento,30453.91,466.98,1,0,0.05
nrpess_000199,Especial,Baixo Engajamento,9787.29,146.92,2,1,0.094
nrpess_000200,Especial,Moderado,10414.23,1844.42,6,3,0.316
nrpess_000201,Varejo,Moderado,2215.65,2100.11,8,3,0.373
nrpess_000202,Varejo,Moderado,1403.65,1338.36,3,4,0.268
nrpess_000203,Select,Muito Engajado,25018.84,2185.55,16,11,0.895
nrpess_000204,Especial,Moderado,7427.32,1537.13,6,5,0.388
nrpess_000205,Varejo,Muito Engajado,2756.65,4170.29,22,4,0.814
nrpess_000206,Varejo,Moderado,1727.42,1043.44,8,4,0.386
nrpess_000207,Especial,Moderado,12324.19,1421.32,9,4,0.421
nrpess_000208,Varejo,Moderado,219.04,785.36,6,3,0.29
nrpess_000209,Varejo,Moderado,1954.21,3282.43,4,3,0.302
nrpess_000210,Especial,Moderado,3041.5,1186.55,8,5,0.43
nrpess_000211,Especial,Muito Engajado,8598.84,4060.67,18,10,0.95
nrpess_000212,Especial,Moderado,6186.17,2163.52,9,5,0.479
nrpess_000213,Varejo,Moderado,1827.08,1347.0,7,5,0.409
nrpess_000214,Especial,Muito Engajado,8154.74,2446.37,14,7,0.691
nrpess_000215,Varejo,Muito Engajado,1985.68,3747.96,25,6,0.95
nrpess_000216,Varejo,Moderado,2783.88,1393.22,7,2,0.29
nrpess_000217,Especial,Baixo Engajamento,6197.13,644.04,2,1,0.106
nrpess_000218,Especial,Moderado,7745.55,2134.83,5,3,0.298
nrpess_000219,Select,Moderado,25576.02,820.57,5,2,0.226
nrpess_000220,Especial,Baixo Engajamento,8848.39,347.47,1,2,0.114
nrpess_000221,Especial,Baixo Engajamento,7851.26,457.55,2,2,0.141
nrpess_000222,Varejo,Moderado,1549.62,2671.51,9,4,0.452
nrpess_000223,Varejo,Baixo Engajamento,1954.2,588.68,2,1,0.105
nrpess_000224,Varejo,Moderado,2563.64,2223.98,11,2,0.411
nrpess_000225,Varejo,Baixo Engajamento,1978.52,547.3,1,0,0.05
nrpess_000226,Private,Moderado,23472.28,1748.4,10,4,0.454
nrpess_000227,Varejo,Baixo Engajamento,921.04,804.55,1,1,0.085
nrpess_000228,Select,Baixo Engajamento,21352.3,778.17,4,0,0.119
nrpess_000229,Especial,Moderado,13149.81,2249.35,12,5,0.556
nrpess_000230,Especial,Baixo Engajamento,9322.28,721.98,3,2,0.173
nrpess_000231,Especial,Moderado,13595.77,2064.14,9,8,0.597
nrpess_000232,Especial,Muito Engajado,4388.73,3412.96,15,6,0.7
nrpess_000233,Varejo,Moderado,1521.66,1255.5,12,3,0.451
nrpess_000234,Varejo,Baixo Engajamento,2357.79,697.91,2,0,0.067
nrpess_000235,Especial,Moderado,7202.29,930.83,3,6,0.338
nrpess_000236,Varejo,Moderado,956.95,1006.5,10,0,0.275
nrpess_000237,Varejo,Moderado,0.0,1770.06,3,2,0.199
nrpess_000238,Especial,Muito Engajado,10443.75,3016.98,21,5,0.8
nrpess_000239,Varejo,Moderado,1303.99,2738.77,8,2,0.348
nrpess_000240,Select,Moderado,11923.3,1647.54,4,3,0.261
nrpess_000241,Select,Baixo Engajamento,21568.91,608.94,1,1,0.08
nrpess_000242,Select,Muito Engajado,36395.51,3238.33,24,8,0.95
nrpess_000243,Varejo,Moderado,1411.29,798.22,7,2,0.275
nrpess_000244,Varejo,Muito Engajado,2562.26,2906.56,16,4,0.633
nrpess_000245,Select,Muito Engajado,17207.45,3292.17,21,6,0.847
nrpess_000246,Varejo,Moderado,1905.05,1756.84,7,4,0.379
nrpess_000247,Private,Moderado,62110.88,2487.66,7,2,0.317
nrpess_000248,Private,Muito Engajado,76611.89,3379.77,20,5,0.784
nrpess_000249,Select,Muito Engajado,9294.96,4312.82,17,8,0.853
nrpess_000250,Varejo,Baixo Engajamento,2229.09,746.73,1,0,0.05
nrpess_000251,Varejo,Baixo Engajamento,1812.72,1024.09,3,2,0.181
nrpess_000252,Select,Moderado,36250.42,1945.69,11,5,0.524
nrpess_000253,Varejo,Moderado,0.0,2057.13,9,5,0.476
nrpess_000254,Varejo,Moderado,2392.28,1879.17,7,6,0.462
nrpess_000255,Especial,Baixo Engajamento,6617.63,631.71,3,1,0.131
nrpess_000256,Select,Moderado,24897.0,1355.4,4,4,0.294
nrpess_000257,Especial,Baixo Engajamento,3298.48,537.48,1,1,0.078
nrpess_000258,Especial,Muito Engajado,9998.74,3346.06,19,5,0.759
nrpess_000259,Varejo,Moderado,1190.43,1840.31,6,5,0.396
nrpess_000260,Especial,Moderado,7262.19,1439.34,8,0,0.236
nrpess_000261,Private,Moderado,88537.46,2097.4,10,2,0.382
nrpess_000262,Varejo,Moderado,1910.04,1698.68,8,1,0.282
nrpess_000263,Especial,Moderado,4845.42,2127.37,10,2,0.383
nrpess_000264,Select,Moderado,30379.81,1991.52,6,5,0.4
nrpess_000265,Especial,Muito Engajado,11605.69,4130.51,22,1,0.693
nrpess_000266,Especial,Moderado,12477.73,685.45,7,0,0.192
nrpess_000267,Especial,Muito Engajado,10579.47,2478.58,15,7,0.717
nrpess_000268,Varejo,Muito Engajado,1723.18,3055.3,16,8,0.796
nrpess_000269,Varejo,Moderado,1278.88,1193.08,10,2,0.36
nrpess_000270,Select,Moderado,32140.25,2051.76,4,2,0.231
nrpess_000271,Select,Moderado,25237.1,2812.31,5,2,0.275
nrpess_000272,Select,Moderado,15575.71,567.41,5,3,0.259
nrpess_000273,Select,Moderado,40454.44,1046.87,11,4,0.461
nrpess_000274,Especial,Moderado,3627.35,1916.05,9,3,0.393
nrpess_000275,Especial,Baixo Engajamento,9551.26,582.46,1,1,0.08
nrpess_000276,Especial,Moderado,9072.85,2026.66,10,1,0.341
nrpess_000277,Especial,Moderado,10244.74,1776.61,13,4,0.529
nrpess_000278,Especial,Moderado,8496.85,2458.77,5,4,0.346
nrpess_000279,Especial,Moderado,10301.91,2085.17,11,4,0.487
nrpess_000280,Select,Moderado,22508.98,2238.48,6,1,0.246
nrpess_000281,Varejo,Moderado,934.68,2308.97,2,2,0.188
nrpess_000282,Varejo,Moderado,978.71,1203.69,7,3,0.325
nrpess_000283,Varejo,Moderado,1808.91,2093.59,11,4,0.487
nrpess_000284,Especial,Muito Engajado,6715.04,3265.34,19,6,0.797
nrpess_000285,Varejo,Muito Engajado,3152.44,1701.52,8,5,0.443
nrpess_000286,Varejo,Moderado,612.39,1625.97,9,1,0.306
nrpess_000287,Especial,Baixo Engajamento,11895.08,689.91,0,1,0.057
nrpess_000288,Varejo,Moderado,2062.69,1360.28,5,4,0.319
nrpess_000289,Especial,Moderado,9004.42,1109.79,10,0,0.278
nrpess_000290,Varejo,Muito Engajado,1391.95,3168.34,22,4,0.789
nrpess_000291,Varejo,Muito Engajado,2083.75,3711.06,13,7,0.698
nrpess_000292,Select,Baixo Engajamento,20151.63,679.84,1,3,0.162
nrpess_000293,Varejo,Moderado,1918.83,1066.29,6,3,0.297
nrpess_000294,Varejo,Muito Engajado,2379.46,3377.2,11,7,0.639
nrpess_000295,Especial,Moderado,7287.17,1617.93,5,3,0.285
nrpess_000296,Especial,Baixo Engajamento,8475.61,494.77,2,0,0.062
nrpess_000297,Varejo,Muito Engajado,989.83,2834.28,21,14,0.95
nrpess_000298,Especial,Moderado,6003.71,2748.97,8,3,0.389
nrpess_000299,Varejo,Moderado,2984.95,617.47,2,3,0.185
nrpess_000300,Varejo,Moderado,1951.04,1982.66,6,3,0.32
nrpess_000301,Especial,Moderado,10389.09,1882.79,8,2,0.327
nrpess_000302,Especial,Baixo Engajamento,11389.81,435.46,3,3,0.206
nrpess_000303,Especial,Muito Engajado,6452.9,4021.74,24,10,0.95
nrpess_000304,Especial,Moderado,9145.4,1801.45,6,3,0.315
nrpess_000305,Private,Muito Engajado,79794.02,2846.83,15,6,0.686
nrpess_000306,Especial,Moderado,8212.58,2318.75,6,3,0.328
nrpess_000307,Varejo,Baixo Engajamento,1987.32,429.54,3,0,0.086
nrpess_000308,Especial,Moderado,8173.67,2620.49,13,6,0.631
nrpess_000309,Varejo,Moderado,2399.37,1413.14,9,3,0.38
nrpess_000310,Varejo,Baixo Engajamento,907.61,236.13,3,0,0.081
nrpess_000311,Varejo,Muito Engajado,0.0,2947.62,16,10,0.874
nrpess_000312,Varejo,Moderado,3171.17,1462.34,6,5,0.387
nrpess_000313,Private,Baixo Engajamento,83561.22,627.22,1,2,0.121
nrpess_000314,Select,Moderado,27628.58,1950.15,5,3,0.294
nrpess_000315,Especial,Muito Engajado,4024.31,4542.76,18,2,0.644
nrpess_000316,Varejo,Muito Engajado,3732.59,3634.46,21,7,0.896
nrpess_000317,Varejo,Moderado,13.43,2766.43,6,1,0.259
nrpess_000318,Varejo,Muito Engajado,3097.37,741.57,25,6,0.884
nrpess_000319,Varejo,Moderado,2118.57,2129.09,13,2,0.458
nrpess_000320,Especial,Muito Engajado,8186.1,2018.17,16,3,0.57
nrpess_000321,Especial,Muito Engajado,8102.44,2343.01,19,1,0.574
nrpess_000322,Especial,Moderado,8852.95,2211.31,6,5,0.405
nrpess_000323,Varejo,Moderado,1439.56,1695.39,7,1,0.257
nrpess_000324,Select,Moderado,23522.91,1040.43,4,1,0.166
nrpess_000325,Especial,Moderado,7390.06,1400.67,4,1,0.175
nrpess_000326,Especial,Muito Engajado,5482.27,5578.84,18,6,0.829
nrpess_000327,Especial,Muito Engajado,6073.67,3450.04,19,1,0.601
nrpess_000328,Varejo,Muito Engajado,4311.58,4295.36,18,4,0.717
nrpess_000329,Varejo,Moderado,1357.08,1498.66,10,1,0.327
nrpess_000330,Varejo,Muito Engajado,1785.23,1912.47,21,5,0.773
nrpess_000331,Especial,Moderado,10349.53,1390.6,4,1,0.175
nrpess_000332,Varejo,Muito Engajado,1604.41,3820.88,16,7,0.776
nrpess_000333,Varejo,Baixo Engajamento,3195.83,145.14,3,1,0.119
nrpess_000334,Varejo,Moderado,1657.43,1208.01,4,2,0.21
nrpess_000335,Varejo,Moderado,468.13,2332.71,7,7,0.513
nrpess_000336,Select,Baixo Engajamento,16806.52,1057.53,3,0,0.101
nrpess_000337,Especial,Moderado,5989.49,1367.68,10,6,0.524
nrpess_000338,Varejo,Moderado,1670.68,1700.71,7,0,0.218
nrpess_000339,Varejo,Baixo Engajamento,2628.17,785.11,0,0,0.05
nrpess_000340,Varejo,Moderado,1002.82,1725.34,10,6,0.533
nrpess_000341,Varejo,Baixo Engajamento,583.91,550.57,1,0,0.05
nrpess_000342,Varejo,Moderado,1712.67,2871.17,11,3,0.467
nrpess_000343,Varejo,Baixo Engajamento,2193.28,445.26,2,2,0.141
nrpess_000344,Varejo,Moderado,2244.59,1165.22,7,2,0.284
nrpess_000345,Especial,Moderado,6898.5,1681.1,8,3,0.362
nrpess_000346,Especial,Moderado,7766.14,1846.87,5,3,0.291
nrpess_000347,Varejo,Muito Engajado,2134.89,4530.12,22,4,0.823
nrpess_000348,Varejo,Muito Engajado,2932.95,2765.18,15,2,0.524
nrpess_000349,Especial,Moderado,3885.9,2021.25,6,2,0.281
nrpess_000350,Especial,Moderado,8310.86,1339.15,8,3,0.353
nrpess_000351,Select,Baixo Engajamento,19403.13,213.24,1,2,0.11
nrpess_000352,Especial,Moderado,10391.73,2114.13,6,6,0.443
nrpess_000353,Varejo,Baixo Engajamento,1860.64,384.03,1,0,0.05
nrpess_000354,Varejo,Moderado,2342.24,1825.68,9,3,0.391
nrpess_000355,Especial,Muito Engajado,10946.41,4503.85,21,8,0.95
nrpess_000356,Varejo,Muito Engajado,3022.99,4437.46,20,2,0.691
nrpess_000357,Especial,Moderado,2483.51,1557.17,6,2,0.269
nrpess_000358,Select,Moderado,18077.01,1343.68,6,6,0.424
nrpess_000359,Especial,Muito Engajado,4610.58,4733.37,22,3,0.788
nrpess_000360,Varejo,Moderado,2300.69,1430.21,5,4,0.321
nrpess_000361,Especial,Moderado,5221.38,2287.81,3,4,0.292
nrpess_000362,Varejo,Moderado,3947.25,2193.69,7,5,0.43
nrpess_000363,Especial,Baixo Engajamento,8933.05,790.61,1,1,0.085
nrpess_000364,Select,Moderado,20276.21,1919.38,8,1,0.288
nrpess_000365,Varejo,Moderado,1532.85,1692.77,13,3,0.487
nrpess_000366,Private,Baixo Engajamento,109801.33,369.35,2,0,0.059
nrpess_000367,Select,Moderado,26105.13,2174.82,5,3,0.299
nrpess_000368,Varejo,Moderado,1813.93,1637.03,7,3,0.336
nrpess_000369,Varejo,Baixo Engajamento,1763.36,407.87,1,2,0.115
nrpess_000370,Varejo,Moderado,1691.51,2097.8,14,4,0.562
nrpess_000371,Varejo,Baixo Engajamento,1965.87,861.29,2,0,0.072
nrpess_000372,Varejo,Moderado,1610.9,950.13,9,1,0.289
nrpess_000373,Especial,Moderado,5344.95,1781.73,13,2,0.45
nrpess_000374,Varejo,Muito Engajado,1489.98,3137.34,23,3,0.773
nrpess_000375,Varejo,Baixo Engajamento,3467.83,461.17,5,2,0.217
